SYMBOL,logFC,logCPM,F,PValue,FDR
ERP27,-16.990230647149275,2.5839956870983727,291.4556679897187,1.3864578479199885e-20,1.7567752499975e-20
CRYAB,-11.917035962022156,8.167549602787547,291.008721915738,1.4264429647428762e-20,1.80709791499339e-20
RPS3AP47,-19.57045857640367,1.046797462620382,290.7228132291406,1.452653066397144e-20,1.8399538650124023e-20
RPL31P14,-20.11559938189671,1.4249028537954316,290.67500125887113,1.4570851277885302e-20,1.8452181786780536e-20
EIF4A2P4,-19.615837500919444,0.9688794090544094,290.40515710953264,1.4823660012619913e-20,1.8768779448119366e-20
PDZPH1P,-18.827606936257048,0.9713117939428052,290.31496684588745,1.490917734655857e-20,1.8873483586512166e-20
BCLAF1P2,-19.099939914745626,1.550261075889082,290.0577149887094,1.515595105462268e-20,1.9182243444535687e-20
MRGPRF,-21.026946613152354,0.5422056637203548,290.015610396277,1.519674632522049e-20,1.9230237640824793e-20
SCD,-8.734005826345632,11.480682879502247,289.95114272162203,1.5259432247830758e-20,1.9305909269101556e-20
CYP2A6,-17.74885856253713,2.8698381627140654,289.9168356375949,1.5292901502077623e-20,1.934459495979524e-20
GFUS,-14.12572294801819,4.81933500646435,289.8768362401261,1.533202115362871e-20,1.9390412081040356e-20
TPTEP2-CSNK1E,-15.292521648279315,3.31815203111346,289.71287312776826,1.5493476672870908e-20,1.9590900844013896e-20
PAIP2B,-10.955213121542023,9.250179200158625,289.5390106102506,1.5666626784382028e-20,1.9806098386076618e-20
RPS10P15,-19.485085221117867,0.6935912250458522,289.53569077349704,1.5669952668083324e-20,1.9806559598792396e-20
HMGB3P10,-19.469332403009425,0.5510500498067264,289.367608289749,1.5839311513239645e-20,2.0016843890432643e-20
IFNA2,-20.459406099631828,0.6555388435566382,299.20971144758926,1.5851613393971367e-20,2.002860634534841e-20
RPL27P11,-20.98741364182824,0.7846858648725412,289.0968154064181,1.6116204533529112e-20,2.035907311138361e-20
HMGB1P23,-22.09475614321979,0.5516686282266281,288.975424171935,1.6241971580082867e-20,2.0514076264949827e-20
CSNK1A1L,-18.272078452992556,0.6613809271970115,288.5802707441132,1.6658536613023982e-20,2.1036237758073895e-20
HSPA8P6,-19.65025136453397,0.5972780695268258,288.4170353828473,1.6833868941264787e-20,2.1253633323540988e-20
PDK4,-12.113013824824362,7.524540801508309,288.10313429896405,1.717648616490669e-20,2.1682112843378158e-20
RPL21P57,-19.422374206054894,0.9244201067484302,288.0633659878503,1.7220410916118903e-20,2.1733458229796103e-20
HS3ST5,-18.8978472882653,0.9691545044583992,287.97498380136574,1.7318452270111244e-20,2.185307059701455e-20
RLN1,-19.22383596567001,1.1060442468058913,287.90720177285795,1.739403810093239e-20,2.194430797003711e-20
OR6L2P,-18.884164030005483,1.9650724065270915,287.7648163669591,1.7553943833496885e-20,2.2141868810533786e-20
RPL5P25,-16.90289910607305,2.039548973672871,287.29156649661655,1.809658043200332e-20,2.2822026114191215e-20
BIK,-19.11392245326365,0.6097897307265924,287.1312346073488,1.828438028538688e-20,2.305451832779507e-20
ASNSP3,-20.66658858192408,0.8125672371648001,287.048327295205,1.8382290779070725e-20,2.317360403716624e-20
RPL23AP18,-19.68428980037748,0.9433281140677897,286.956906025355,1.849089281264985e-20,2.3306120599927428e-20
OR1K1,-19.2126726325554,0.9070686269448858,286.82558786916434,1.8648066812360343e-20,2.3499796327784165e-20
SYCE1L,-20.37600873906278,1.1787529067101303,286.20896248553106,1.9405036717738114e-20,2.4449103523253013e-20
FAM90A24P,-15.127666888649237,4.15660545189599,285.91906464177896,1.9771971786048073e-20,2.4906726794138523e-20
"NANOGP8",-16.81415830483828,2.861466405130333,285.91273383225365,1.978006554781647e-20,2.4912230926255764e-20
EEF1AKMT4,-19.94749349261504,0.7539509369388859,285.55128944042644,2.0247965071925888e-20,2.5496731620126555e-20
NT5C3AP1,-19.69456124980706,1.115808818394633,285.42529113718916,2.0413785874833838e-20,2.570069898678026e-20
PGA5,-18.38490497028964,1.086919642603763,284.8876572646088,2.1137487087137724e-20,2.6606821815179572e-20
"NAP1L1P3",-19.709244309726284,0.9649267576841124,284.18674410698065,2.2121551916115615e-20,2.784027483855077e-20
PYDC1,-17.970215232530727,1.441494191437768,284.1635566459834,2.2154915035619547e-20,2.787701780911572e-20
SLC9C1,-19.786871573737802,1.2732392385304823,283.90379690931303,2.2532291028590648e-20,2.8346528999481447e-20
MTND2P41,-19.568966427918227,1.1394121778246968,283.86272841096354,2.2592568488976408e-20,2.8417015912516583e-20
ARRDC5,-18.731856648978216,0.9691123573197725,283.7490426535808,2.2760310905489398e-20,2.862262072698225e-20
ZP2,-19.126714413851207,1.2975991613457767,283.6333116044844,2.2932411430694415e-20,2.8833627830811075e-20
TEX48,-19.90151432101405,1.2500040151235463,283.5182708918659,2.310483655493159e-20,2.9044963675237245e-20
RPL34P30,-17.918736342849005,1.3564123687277978,283.48571956532476,2.315387113002864e-20,2.910113566117279e-20
TOPAZ1,-18.841223767929616,1.7848957249683164,283.34642225176515,2.3364939790373955e-20,2.9360902171296525e-20
TEX22,-17.848118037776224,1.526998929494483,283.2212419719538,2.355633706494665e-20,2.9595856241064636e-20
EEF1A1P23,-18.31820956360425,1.4853518510597932,282.9291072044266,2.4009418676400437e-20,3.0159436906374187e-20
TDH,-17.166233722905876,1.7279628648614274,282.81690736611426,2.418585076019597e-20,3.037535781730207e-20
CEMP1,-16.929557717487803,3.2839579035668303,282.5848309676395,2.455510923095559e-20,3.0833325632788046e-20
THAP12P5,-18.951583427599328,0.7719667711641036,282.36824350381664,2.490505144582343e-20,3.1266871081289967e-20
FAM86B2,-15.421970549865637,4.975447794827234,282.3300161301653,2.4967356080840144e-20,3.133920901196092e-20
RPL8P5,-19.6925364475909,0.7508885720111522,282.2884771633818,2.5035243195734842e-20,3.1418525654084495e-20
GALNT4,-14.875697272532053,5.216694513092146,282.0376061142658,2.544937218190305e-20,3.193225483488079e-20
SNRPCP9,-17.8524187004344,2.2858961940756672,281.4805867870444,2.6394739351912715e-20,3.311223021848165e-20
MAML1,-13.423557404124038,7.463116716633774,281.15073854458785,2.6971827793452963e-20,3.3829843635928534e-20
SDR9C7,-19.02455505826677,1.2604992030302113,280.94353850383095,2.7341080721370765e-20,3.4286555857751974e-20
LOC100421201,-17.968530382149762,2.385597685076471,280.93039950825425,2.736467362780654e-20,3.430970982125547e-20
CILP,-20.360463227422862,0.7205370145874902,280.91019653979384,2.7400992493601947e-20,3.4348807869134826e-20
TUT1,-15.554650986110866,3.9195935902230357,280.8973213594327,2.7424164533616897e-20,3.437141400887454e-20
CDH19,-14.385036942716466,6.086682202632704,280.77120981485126,2.7652221131193817e-20,3.465075068313141e-20
TRIM77,-19.50420872924426,0.930318070315794,280.4994321257819,2.815047514774846e-20,3.5268501266770826e-20
MYL7,-17.1433259450127,0.9656021815517947,280.29580440419005,2.852994550562971e-20,3.5737229491976995e-20
RHOXF1,-19.97929592397215,0.6385549928468167,280.24706579318877,2.862156446649126e-20,3.5845280793177317e-20
TBPL2,-18.22052835805151,0.8931850872175484,279.94052300412227,2.9204913091014825e-20,3.656901229236207e-20
CAPNS2,-18.94267735872019,1.0172527760000192,279.93301098727875,2.92193637391662e-20,3.6580259040105316e-20
SPACDR,-20.019320740693583,1.1287804951463825,279.7046560680277,2.966223635891769e-20,3.7127750562275534e-20
KCNH4,-14.93536258987012,4.119104520435352,279.67497692489803,2.972031035660767e-20,3.7193481005677963e-20
CNOT3,-12.796421931425604,7.971949658471443,279.4967833955039,3.007149950224189e-20,3.7625937181162734e-20
MTATP6P11,-18.40180081727447,0.8639966875352356,279.41246253847106,3.023919386897005e-20,3.7828682960452715e-20
RPL35AP10,-20.182638066900537,0.5423657392982617,279.1579241396678,3.0751377530453445e-20,3.8462222195438127e-20
RPL34P16,-20.068048387402495,0.7782089523655124,279.1279928974394,3.081219960359224e-20,3.853109051195149e-20
SLCO1C1,-11.315699257969328,7.869962363577095,278.82915205663784,3.142641627351681e-20,3.9291831486645595e-20
LOC100130664,-18.134306570672866,1.5863421079703863,278.8051534097076,3.147629449111843e-20,3.934683869390603e-20
HLA-DQA1,-6.162285083979738,13.622001473005822,278.78871205091787,3.151051367264443e-20,3.938225447614324e-20
ARMS2,-18.25966114776211,0.7795325875167153,278.65029007897226,3.180015894084505e-20,3.973683227261583e-20
KLF2P2,-21.26665387977501,0.4495901047042503,278.068079380036,3.304929586431747e-20,4.129001494890167e-20
DUXAP1,-18.841556699938312,1.1345236797848146,277.9529163340767,3.330240896182506e-20,4.15984712503544e-20
GXYLT1P6,-15.130515952290098,4.527792643604364,277.881741667063,3.3459855830810825e-20,4.1787336753602244e-20
MTNR1A,-18.635250442544855,0.5393234337497843,277.8211002529061,3.359461693555868e-20,4.194780524210416e-20
CSGALNACT2P1,-19.50979539018486,0.7808935611837933,277.7096920985848,3.384367857060893e-20,4.2250908167003196e-20
RPS2P32,-19.730661014691343,0.9395136207366214,277.61433484933013,3.4058393076617297e-20,4.251102655150086e-20
GPRIN2,-19.79552802591382,0.8140192470594465,277.29224511222986,3.4794246958542184e-20,4.3413596127955854e-20
MTCO3P43,-21.386395148164407,0.5161837741634834,277.2921434573676,3.4794481812224747e-20,4.3413596127955854e-20
TAS2R7,-17.072097241854053,3.1481889569610773,276.5291603749304,3.6604851700009203e-20,4.566390395773248e-20
EGR4,-17.63447871663304,3.025050842474488,276.3486962870404,3.7047304524914914e-20,4.620723847979785e-20
MTND3P22,-21.217972007788717,0.5992815366837208,276.0582217665097,3.7771277134389115e-20,4.710143041609411e-20
C3orf52,-17.911796891735356,2.957342826555964,275.979255527377,3.797064164124551e-20,4.734121564553424e-20
BNIP5,-22.31338861345959,0.6855043801781378,275.8693665795817,3.8249911855291857e-20,4.7680518151331945e-20
RPL17P9,-20.53556627234132,0.8594120413667025,275.4605239744623,3.9307974000949683e-20,4.8990318258310497e-20
TMEM262,-17.449273606810152,1.959667286597271,275.28592159712366,3.976913458492274e-20,4.9555838531771275e-20
B2M,-14.576506425624,6.94319396404954,275.18912703429675,4.0027226848719413e-20,4.9868154291503846e-20
TAS2R40,-18.547583370343563,1.891906313927769,274.8889778531429,4.0838754893292055e-20,5.0869726532817606e-20
SLN,-16.750674475029356,3.254873042731652,274.85222709224774,4.093929733747133e-20,5.098547009688061e-20
BRDTP1,-20.782952341892564,0.7244443190770558,274.7824981930303,4.113077432656219e-20,5.121439863558721e-20
DSTNP3,-20.59606703126003,0.8491600512868352,274.74899363979415,4.122311190414126e-20,5.131982049633368e-20
CCDC54,-19.56841085932113,0.917950805043238,274.41343314472687,4.2159972801363884e-20,5.247637850173484e-20
KNOP1P2,-19.99210952496878,0.7760702273982246,274.3232582679451,4.2415517173519436e-20,5.278463151138075e-20
LYVE1,-14.437018390177823,5.3233643462338796,274.1012772196928,4.3051520024871e-20,5.3566149078564376e-20
C10orf105,-16.076500770370167,2.1915120510959336,274.0841022737904,4.310114282968337e-20,5.361791787014173e-20
EEF1B2P6,-18.967072704326796,0.7669038567610932,273.93727810731264,4.35278081911158e-20,5.413862197664068e-20
DBNDD2,-12.468144598561786,7.942511828658105,273.8194675426444,4.3873359016218884e-20,5.455826333137908e-20
FCF1P4,-18.18036553089891,1.8873699549379712,273.7912237358069,4.3956627251020594e-20,5.465165049852727e-20
SOCS5P4,-17.996488901930437,1.2704504133096548,273.7839514981865,4.397809400501722e-20,5.466817892576847e-20
KMT5AP2,-19.12899622380265,0.7950498398133886,273.76116204818686,4.4045436812022826e-20,5.474171810398006e-20
RPS13P2,-19.065474379631148,0.9972631799094691,273.751912501831,4.407280001850881e-20,5.476555068248289e-20
CLDN24,-18.496805461996892,0.8791450406605086,273.73214969156714,4.4131324599638074e-20,5.482808882744782e-20
SYNJ2BP-COX16,-17.255893708729428,2.9339052211106336,273.4576919475212,4.495255711050467e-20,5.58380045519342e-20
SSX1,-19.788427558710293,1.0613057671906572,273.08430083381296,4.6095602578725933e-20,5.724721233737427e-20
EZHIP,-19.529764374515683,0.8564319972672871,272.2657850650059,4.8709102382254653e-20,6.04817497373123e-20
KRT18P50,-20.185419212356038,1.0728832067290157,271.89993767647843,4.992699699375445e-20,6.198249496867548e-20
PLET1,-18.182511839271278,1.508270480338728,271.87098229608046,5.0024740798556536e-20,6.209231605150207e-20
BTG2,-13.752955626695769,6.375910538819222,271.194251805111,5.2367164603995676e-20,6.498774842970819e-20
OR2T8,-19.79250979596345,1.3092040790324515,270.8945487326366,5.3440990892112487e-20,6.630806679230947e-20
DGKK,-18.892806455780747,0.9029059014871634,270.4680452846688,5.500906386915359e-20,6.824102897269443e-20
LOC100419700,-17.223419471589004,1.5465251038277295,270.39536232808996,5.528105850792181e-20,6.856573342471519e-20
VAMP9P,-18.93541387062589,0.68725687012767,270.1408290077119,5.624473077856061e-20,6.974805416718426e-20
FREM3,-13.393533156950294,7.358094057672663,269.46966041704394,5.88711128111922e-20,7.299145015645312e-20
RPS4XP1,-21.063872297556397,0.679396548415727,269.46327957839696,5.889668949716058e-20,7.300962862240681e-20
GOLGA8T,-14.800646220094855,5.34075224347794,269.4038074621924,5.91356354956304e-20,7.329224862521248e-20
NKX6-2,-15.9540686549383,4.682916935507262,269.337351658296,5.940384197622471e-20,7.361102241181309e-20
CARTPT,-13.64201069443066,6.723728259804962,268.6805300185664,6.212423738891894e-20,7.696777623531743e-20
SLC9A3P2,-19.62540612257366,0.7369395221312238,268.48521601739975,6.29581115861681e-20,7.798644599997748e-20
LOC100294713,-19.11475345574944,0.5490542046137157,268.3480939940144,6.355053883454757e-20,7.870571269473962e-20
RPL31P52,-19.03954252483173,0.8078246873154845,267.9757381850985,6.518891952407614e-20,8.071985981054154e-20
LOC100419570,-20.30321042595482,0.971543639303648,267.8058378806585,6.595112840061662e-20,8.164854670955481e-20
KRTAP3-1,-18.906306688449302,1.5837219912228608,267.7099900430718,6.638523479216585e-20,8.217076897202023e-20
ACTN3,-19.080679935392627,0.5941036784789986,267.6186282412211,6.680180970312182e-20,8.267110177690691e-20
RPS3AP11,-21.05518679743607,0.8256981279984452,267.455792428152,6.755108114102933e-20,8.358290450468834e-20
LSMEM2,-17.91939309005274,1.098619428817337,267.29307979191515,6.830858212617836e-20,8.45045507383035e-20
RPL7P25,-19.311636460593796,1.2921292257609394,267.0887645731306,6.927238083891178e-20,8.568101986528863e-20
IRF7,-16.76421524368994,2.6448184386992417,267.0264101056844,6.956934853123852e-20,8.60324223193667e-20
MFHAS1,-15.793225630295861,4.118545235060428,266.8509934435624,7.041195645001125e-20,8.705833210612297e-20
C19orf67,-18.624378954178713,0.8569327917940598,266.68889785774905,7.120008091635638e-20,8.801651104223023e-20
RBBP8P1,-18.915563968016752,0.9017040518559148,266.65677598171965,7.135735441851134e-20,8.81946311355178e-20
RPS6P16,-19.802609702385254,0.803546477944457,266.62455579402285,7.15154748167994e-20,8.837373195077982e-20
TOMM20L,-18.28430738862055,1.1648443043243222,266.4705097001673,7.227654247043212e-20,8.929770827202076e-20
MRPS10P2,-18.84838366922225,0.9619248678530714,266.2525164636405,7.336806799537424e-20,9.062954881275315e-20
NR3C1P1,-19.336446817350605,1.1778681050009396,265.81718671485476,7.559981464324947e-20,9.33691211500546e-20
RPL17P36,-18.633630777440175,0.893331845001177,265.7477724729656,7.596219237670958e-20,9.379935477345586e-20
ECM1P2,-20.102637918607698,0.6870418237708574,265.4592965712613,7.748778596512359e-20,9.566552239215793e-20
IGLV1-51,-18.44416456243238,0.7545309087832477,265.2863547936739,7.841773663908695e-20,9.679576312582628e-20
HGFAC,-18.449566195281868,1.3302887577698514,265.0693115869703,7.960139909151066e-20,9.823870083452303e-20
RPS20P33,-19.72943960895562,1.1267302301109756,265.0552176170229,7.967890582235623e-20,9.831621491343678e-20
RPL5P13,-18.911772052347203,0.9103912275158744,265.0265218371864,7.983695642475927e-20,9.849306557086218e-20
FA2H,-16.426058656497805,4.146667002347852,264.9834062408971,8.007504605337298e-20,9.876857515231642e-20
PGAM1P6,-19.869005297779303,0.9416463533283078,264.8518934425789,8.080588024502187e-20,9.965164693196006e-20
HPR,-15.547881658964995,4.178352345424691,264.78010465731836,8.12077643994723e-20,1.0012879927522031e-19
RPL37P9,-20.53283665738958,1.0549165999131223,264.41819921963315,8.326588304816569e-20,1.0264752888116113e-19
