SYMBOL,logFC,logCPM,F,PValue,FDR
MTND4P14,-18.98828314619874,0.7867307359599619,231.37321932365117,4.391826315016738e-19,4.9682580792405655e-19
TRHR,-16.906941349628163,2.7145652868388175,231.18657092832285,4.457805216878766e-19,5.042059089987961e-19
LILRB5,-16.858132176242687,2.7392641642437434,230.9317383611287,4.549564915253229e-19,5.144990451413259e-19
LENG8,-10.681391195093298,9.384152856399755,230.68394861212494,4.640684069190931e-19,5.247163372155604e-19
ARRDC4,-11.130126005261376,7.844910260752701,230.40653730677755,4.744964165779528e-19,5.364180807702607e-19
HBB,-12.857351439276384,6.586137072878498,229.69597057131716,5.023401049542841e-19,5.6780109140666015e-19
RPL23AP70,-19.031898045194886,0.3627765389396487,229.60653344411466,5.059638935810619e-19,5.718021828038922e-19
BNIP3P32,-18.120805502592322,1.837938909347343,229.45148696845663,5.123109425049464e-19,5.788790586651477e-19
NPIPB15,-17.79239633428327,3.4512948780037855,229.21543453925392,5.221344352499317e-19,5.898810966677923e-19
FOXD4L1,-19.25234771734207,0.7159783477047036,229.05945581162769,5.287335258253195e-19,5.972373220545123e-19
RPL19P20,-18.733312447618147,0.4971136261848814,228.93011087221387,5.342719405684714e-19,6.033932067226276e-19
LOC102724904,-17.768724951771496,1.416400916691656,228.86773024102058,5.369646662917159e-19,6.063337334627353e-19
BTG2,-13.814062254666883,6.392862159877792,228.4436473107321,5.556509647710299e-19,6.273300313589691e-19
CYP21A2,-17.346291338943548,2.8816817325679454,228.00795616802134,5.755583170866077e-19,6.496977090588051e-19
PPBPP2,-19.997612604075172,0.9977274676722218,227.85357542011374,5.827899583795898e-19,6.577518360030875e-19
GTF2IRD2P1,-20.854580039169846,0.6432348956687073,227.4575308066437,6.017797459702442e-19,6.790716424115665e-19
MBOAT7,-12.373065848223888,8.32060959910272,227.2407239684788,6.124483499463765e-19,6.909959925078504e-19
RPL6P27,-20.178948495044704,1.0634799886530968,227.1038127748215,6.192871870761912e-19,6.985961658054648e-19
BIN2P2,-18.765861842160707,0.7511994463349612,226.85600402802305,6.318693095557323e-19,7.12671546921481e-19
SCD,-8.486935905127257,11.416224526266769,226.700965750422,6.398768418732051e-19,7.215835402972265e-19
NBPF26,-12.785752970713457,6.030405858727746,226.64075888708277,6.430149932374997e-19,7.25002332994558e-19
DEFB134,-19.20345273678379,0.8334801699379115,226.37825321339133,6.568867658216673e-19,7.405201967681676e-19
RNA5SP491,-19.323757586050046,0.5412991265827107,225.79536045737797,6.888197827841547e-19,7.763903163345985e-19
SCG2,-7.654755355115206,12.300575020312563,225.71413020169496,6.933971116105683e-19,7.814202139947633e-19
SSTR4,-17.854593600180543,2.308423273411398,225.5440657227393,7.030835648372188e-19,7.922051949324215e-19
AGBL1,-11.506888019803775,8.132134648982268,225.18360010252462,7.240855900251667e-19,8.157344113966513e-19
CDH19,-12.074513259564181,7.2456127987815595,225.1766950661559,7.24494247589754e-19,8.160597736705765e-19
LOC391674,-19.958672078925247,0.5008574862493101,224.7756583536309,7.486473017021819e-19,8.431259472858348e-19
SNRPCP7,-18.89662043869519,1.1488122011128383,224.12259131090315,7.897978366242404e-19,8.89322551608145e-19
TSPAN8,-17.19324348064991,2.23085053793443,224.08310369432488,7.92360629269884e-19,8.920607679726588e-19
TDH,-16.112191598613133,2.268703802378228,223.8342273237405,8.087144118618474e-19,9.103217772139724e-19
CCR2,-19.711802164284073,0.7216077791749903,223.7399050772882,8.150042654887566e-19,9.172502551591643e-19
