Name_GeneSymbol,NAA,PFC
DNMT3A,-0.0592244510072497,-0.0438911074361603
CTNND1,0.0340409579118967,-0.0364460117079071
CCNH,0.00702489245987387,0.00443507191450364
PCNA,0.00205974660331452,0.166996287057035
TBP,-0.00339711843951134,-0.0523432550755187
FZD1,-0.0166431385968807,-0.0155898564485227
HIF1A,0.0136249837077116,-0.0159081027702727
MRPS16,0.0509235024544429,-0.0177593336314129
LRRC16A,0.0563934117381901,-0.0226967039331602
MAPK1IP1L,-0.0149006233502427,0.10884965452643
MBTPS1,-0.0208013054161744,0.00277260817234476
ASAH1,0.102366644958492,0.00903665146388943
PIK3CA,0.011510212785822,-0.0818457561095273
MYCBP2,0.0137996225059601,-0.0645945802692687
FBXL12,-0.0249566501987857,0.208987422035341
FUT1,1.09986199621393,1.3617489014304
