Name_GeneSymbol,NAC,NAC_Pval,PFC,PFC_Pval
CYTH1,-0.00363396850585174,0.930693164686727,0,0
TXNDC9,-0.0036778436570206,0.915697791568127,0,0
TOMM70A,-0.00377904775680903,0.967208821199561,0,0
ALAS1,-0.0037818879465394,0.926138111798255,0,0
COASY,-0.00378389914177435,0.944991869544802,0,0
HIF1A,-0.00444054272973374,0.883508289958882,0,0
PCCB,-0.00571603698382276,0.886227334204744,0,0
EED,-0.00582991663180612,0.882947328620321,0,0
PSMF1,-0.00589547631784839,0.92223253387395,0,0
FOXJ3,-0.00614218971537082,0.853369051793232,-0.0133575695287102,0.780234768230451
SSBP2,-0.00673568125339507,0.882285638146257,0,0
UBQLN2,-0.00721951748154918,0.943897144995393,-0.0112099356557962,0.911045276646384
SMARCD2,-0.00727080987699285,0.905538498520899,0,0
RAD51C,-0.00729966777174175,0.95413948154978,0.155021341270054,0.128636847075538
ZMYM2,-0.00765684975972717,0.810168117280777,0,0
DNAJC15,-0.00786080480097878,0.88725475339524,0,0
CD40,-0.00793934774812545,0.974663464692421,0,0
PIGB,-0.00796365422791625,0.930111515783496,0,0
FZD7,-0.00811628220116322,0.93285493360859,0,0
TIMM22,-0.00825444111284108,0.85184784204691,0,0
TEX10,-0.00825631292433897,0.849155895164551,0,0
CASP2,-0.00839345152818924,0.918692303785645,0,0
RAB21,-0.00869141416277905,0.836120921782717,0,0
INSIG1,-0.00878055220607709,0.911807385393737,0,0
PCNA,-0.00894428390852149,0.872313225756998,0.20418305348385,0.00666577318824268
NCOA3,-0.00983184810724222,0.830697572069339,-0.00922958053414772,0.863864333373895
DNM1L,-0.00983715597088558,0.760334320926117,0,0
PRUNE,-0.00991799269019972,0.87852330542556,0,0
SDHB,-0.0100300959011672,0.789225231796825,0,0
LBR,-0.0104991070433462,0.887006565122153,-0.0188982434952283,0.848256375199513
NOS3,-0.0105226911656497,0.919420405662811,0,0
JADE2,-0.0106373540059733,0.846571078828745,0,0
PAPD7,-0.0109638043205082,0.815991115276812,0,0
DRAP1,-0.0110831772470094,0.877583576533181,0.160987938173733,0.330437860509734
PSMD2,-0.0112338743480477,0.74310922993865,0,0
PPP2R5A,-0.0113952453009013,0.779596551837516,0,0
JUN,-0.0118872819030447,0.897119221457737,0,0
COPB2,-0.0119967365520649,0.713033689956105,0,0
TCTN1,-0.012440430893897,0.899352645793338,0,0
DMTF1,-0.0125717134567977,0.749324736439217,0,0
BIRC2,-0.0128833473416873,0.777652780194937,0,0
NOSIP,-0.0129407296938754,0.79245278360513,-0.0237608403559702,0.756021908225303
TGFBR2,-0.0136491155433038,0.844748091650606,0,0
ITFG1,-0.013699479899471,0.715180650347185,-0.00524612341217977,0.947094001776292
GAPDH,-0.0137939489725588,0.822773783983311,0,0
YTHDF1,-0.014091508091363,0.864637149964929,0,0
DHX29,-0.0141631442478317,0.672890483955804,0,0
RPN1,-0.0143371978982068,0.703568043613216,0,0
SPAG7,-0.0146174199961463,0.780879510310236,0,0
CSNK1A1,-0.0147132322974389,0.619746281963095,0,0
HADH,-0.0148788126582625,0.817177336601681,0,0
SCARB1,-0.0149086827667951,0.879661613921856,0,0
IL13RA1,-0.0154093354660006,0.826182956357724,0,0
DFFB,-0.0160914759703346,0.852057068492359,0,0
CAMSAP2,-0.0162690420386336,0.669728599827325,0,0
NENF,-0.0165427463654007,0.870329018250416,0.404824989601686,0.215530433708237
ENOPH1,-0.0165540822495488,0.693509623729934,0,0
PRCP,-0.0168255227458904,0.857441613993634,0,0
DDB2,-0.0168341798197467,0.830205295412641,0,0
ADRB2,-0.0178822233920471,0.897918359572812,0,0
CEBPA,-0.0180365292764098,0.906651153471306,0.618355233691048,0.0393701554431064
CEBPZ,-0.0185611001680309,0.536018248632874,0,0
PARP2,-0.0187273527792618,0.655683933789601,-0.0181976777137511,0.827922522918775
BAD,-0.0188747760436811,0.792187894756617,0,0
NPDC1,-0.0189673201829992,0.815936749721946,0,0
KIAA0907,-0.0190160386116159,0.5969304022726,0,0
