Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
Mouse_PFC_Female,Pifithrin MU,-0.34910837,InputSig,NA,NA,LINCSCP_12667,CORL23,10uM,6h
Mouse_PFC_Female,VU0418947-2,-0.34739306,InputSig,NA,NA,LINCSCP_26142,HT29,10uM,6h
Mouse_PFC_Female,Digitoxigenin,-0.34616363,InputSig,NA,NA,LINCSCP_25349,HT29,10uM,6h
Mouse_PFC_Female,Niacin,-0.34386472,InputSig,NA,NA,LINCSCP_106446,HELA,0.12uM,24h
Mouse_PFC_Female,GNF-PF-2272,-0.34299488,InputSig,NA,NA,LINCSCP_26714,HT29,10uM,6h
Mouse_PFC_Female,PD-0325901,-0.34263967,InputSig,NA,NA,LINCSCP_86815,CD34,3.33uM,24h
Mouse_PFC_Female,FGIN1-27,-0.34162418,InputSig,NA,NA,LINCSCP_203075,AGS,10uM,6h
Mouse_PFC_Female,Strophanthidin,-0.34092608,InputSig,NA,NA,LINCSCP_27153,HT29,10uM,6h
Mouse_PFC_Female,Quiflapon,-0.33955399000000003,InputSig,NA,NA,LINCSCP_54227,SW620,80uM,6h
Mouse_PFC_Female,22862-76-6,-0.33843039,InputSig,NA,NA,LINCSCP_13387,FIBRNPC,10uM,6h
Mouse_PFC_Female,4-Chloro-3-nitro-quinolin-2(1H)-one,-0.33840939,InputSig,NA,NA,LINCSCP_1715,A375,10uM,6h
Mouse_PFC_Female,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",-0.33720283,InputSig,NA,NA,LINCSCP_54320,SW620,10uM,6h
Mouse_PFC_Female,VU0418939-2,-0.33718043,InputSig,NA,NA,LINCSCP_26133,HT29,10uM,6h
Mouse_PFC_Female,CP466722,-0.336296,InputSig,NA,NA,LINCSCP_81194,A549,0.12uM,24h
Mouse_PFC_Female,Fedratinib,-0.33627195,InputSig,NA,NA,LINCSCP_81253,A549,0.37uM,24h
Mouse_PFC_Female,SMR000075319,-0.33602389,InputSig,NA,NA,LINCSCP_53393,SKMEL28,60uM,6h
Mouse_PFC_Female,QL-XII-47,-0.33586323,InputSig,NA,NA,LINCSCP_26763,HT29,10uM,6h
Mouse_PFC_Female,GNF-PF-1339,-0.33475855,InputSig,NA,NA,LINCSCP_22228,HEPG2,10uM,6h
Mouse_PFC_Female,Manumycin-A,-0.33435716,InputSig,NA,NA,LINCSCP_53412,SKMEL28,10uM,6h
Mouse_PFC_Female,CDK4 Inhibitor III,-0.33389066,InputSig,NA,NA,LINCSCP_22883,HEPG2,10uM,6h
Mouse_PFC_Female,MLS001210968,-0.33258878,InputSig,NA,NA,LINCSCP_178166,A375,10uM,6h
Mouse_PFC_Female,Narciclasine,-0.3310722,InputSig,NA,NA,LINCSCP_54740,T3M10,10uM,6h
Mouse_PFC_Female,TW 37,-0.3309467,InputSig,NA,NA,LINCSCP_54208,SW620,10uM,6h
Mouse_PFC_Female,Pravastatin,-0.33021975,InputSig,NA,NA,LINCSCP_22956,HEPG2,10uM,6h
Mouse_PFC_Female,STK177393,-0.32987419,InputSig,NA,NA,LINCSCP_28893,HUH7,10uM,6h
Mouse_PFC_Female,Cucurbitacin-I,-0.32986715,InputSig,NA,NA,LINCSCP_54078,SW620,10uM,6h
Mouse_PFC_Female,CHEMBL399379,-0.32957195,InputSig,NA,NA,LINCSCP_54236,SW620,80uM,6h
Mouse_PFC_Female,MLS006011051,-0.32945268,InputSig,NA,NA,LINCSCP_24961,HS578T,1uM,6h
Mouse_PFC_Female,WYE 125132,-0.32927415,InputSig,NA,NA,LINCSCP_116040,HS578T,1.11uM,3h
Mouse_PFC_Female,MLS000718932,-0.32798983,InputSig,NA,NA,LINCSCP_22175,HEPG2,10uM,6h
Mouse_PFC_Female,Mebendazole,-0.327877,InputSig,NA,NA,LINCSCP_34311,MCF7,10uM,24h
Mouse_PFC_Female,Arachidonyl Trifluoromethylketone,-0.32751015,InputSig,NA,NA,LINCSCP_53431,SKMEL28,80uM,6h
Mouse_PFC_Female,BIX01294,-0.32630198,InputSig,NA,NA,LINCSCP_117401,HT29,10uM,24h
Mouse_PFC_Female,SU-11652,-0.3256039,InputSig,NA,NA,LINCSCP_51173,RMUGS,10uM,6h
Mouse_PFC_Female,LDN 193189,-0.32485948,InputSig,NA,NA,LINCSCP_163254,SKBR3,3.33uM,3h
Mouse_PFC_Female,KUC104230,-0.32275731,InputSig,NA,NA,LINCSCP_22014,HEPG2,10uM,6h
Mouse_PFC_Female,Oxindole I,-0.32222867,InputSig,NA,NA,LINCSCP_22938,HEPG2,10uM,6h
Mouse_PFC_Female,FR-180204,-0.32071328,InputSig,NA,NA,LINCSCP_22084,HEPG2,10uM,6h
Mouse_PFC_Female,AC1LEPRU,-0.31802018,InputSig,NA,NA,LINCSCP_26010,HT29,10uM,6h
Mouse_PFC_Female,KUC104486,-0.31785349,InputSig,NA,NA,LINCSCP_22060,HEPG2,10uM,6h
Mouse_PFC_Female,Isocycloheximide,-0.3169522,InputSig,NA,NA,LINCSCP_25158,HT29,10uM,6h
Mouse_PFC_Female,MLS001033149,-0.31688614,InputSig,NA,NA,LINCSCP_26681,HT29,10uM,6h
Mouse_PFC_Female,GW 405833,-0.316275,InputSig,NA,NA,LINCSCP_13470,H1299,40uM,6h
Mouse_PFC_Female,pyrvinium-pamoate,-0.31571999,InputSig,NA,NA,LINCSCP_12669,CORL23,10uM,6h
Mouse_PFC_Female,Cladribine,-0.31539884,InputSig,NA,NA,LINCSCP_1861,A375,10uM,6h
Mouse_PFC_Female,Withaferin-A,-0.31527578,InputSig,NA,NA,LINCSCP_46689,PC3,10uM,24h
Mouse_PFC_Female,Pyrvinium pamoate,-0.31495885,InputSig,NA,NA,LINCSCP_41491,NEU,10uM,6h
Mouse_PFC_Female,Masitinib,-0.31443199,InputSig,NA,NA,LINCSCP_86698,CD34,1.11uM,24h
Mouse_PFC_Female,TyrphostinAG835,-0.31398517,InputSig,NA,NA,LINCSCP_27086,HT29,10uM,6h
Mouse_PFC_Female,TL_HRAS26,-0.31396619,InputSig,NA,NA,LINCSCP_41833,NOMO1,10uM,6h
Mouse_PFC_Female,MLS000718723,-0.31370053,InputSig,NA,NA,LINCSCP_1685,A375,10uM,6h
Mouse_PFC_Female,AZD-6482,-0.313533,InputSig,NA,NA,LINCSCP_69140,A375,0.04uM,24h
Mouse_PFC_Female,"2-(2,4-Dichlorophenoxy)-n-(4-methyl-2-nitrophenyl)acetamide",-0.3135134,InputSig,NA,NA,LINCSCP_22531,HEPG2,10uM,6h
Mouse_PFC_Female,Auranofin,-0.3129612,InputSig,NA,NA,LINCSCP_51065,RMUGS,10uM,6h
Mouse_PFC_Female,Elesclomol,-0.31277713,InputSig,NA,NA,LINCSCP_54344,SW620,10uM,6h
Mouse_PFC_Female,NCGC00170397-01,-0.31232987,InputSig,NA,NA,LINCSCP_17003,HA1E,10uM,6h
Mouse_PFC_Female,Penfluridol,-0.31141411,InputSig,NA,NA,LINCSCP_12616,CORL23,30uM,6h
Mouse_PFC_Female,Seliciclib,-0.31134077,InputSig,NA,NA,LINCSCP_81210,A549,1.11uM,24h
Mouse_PFC_Female,KI8751,-0.31053535,InputSig,NA,NA,LINCSCP_28988,HUH7,10uM,6h
Mouse_PFC_Female,PD-173074,-0.31021556,InputSig,NA,NA,LINCSCP_81549,A549,0.04uM,24h
Mouse_PFC_Female,NCGC00172397-01,-0.30972518,InputSig,NA,NA,LINCSCP_16239,HA1E,10uM,6h
Mouse_PFC_Female,MLS-0002494.0001,-0.30937408,InputSig,NA,NA,LINCSCP_22187,HEPG2,10uM,6h
Mouse_PFC_Female,Artesunate,-0.30909995,InputSig,NA,NA,LINCSCP_10302,A673,10uM,6h
Mouse_PFC_Female,RO 08-2750,-0.30901779,InputSig,NA,NA,LINCSCP_26966,HT29,10uM,6h
Mouse_PFC_Female,BSPBIO_001592,-0.30873405,InputSig,NA,NA,LINCSCP_25816,HT29,50uM,6h
Mouse_PFC_Female,BRD-8899,-0.3080225,InputSig,NA,NA,LINCSCP_261227,NOMO1,3uM,24h
Mouse_PFC_Female,"Ingenol 3,20-dibenzoate",-0.30801056,InputSig,NA,NA,LINCSCP_52953,SKLU1,10uM,6h
Mouse_PFC_Female,Nilotinib,-0.30779204,InputSig,NA,NA,LINCSCP_69265,A375,0.12uM,24h
Mouse_PFC_Female,Gemcitabine,-0.30727667,InputSig,NA,NA,LINCSCP_21061,HCC515,0.1uM,6h
Mouse_PFC_Female,galantamine,-0.3071833,InputSig,NA,NA,LINCSCP_70488,A375,10uM,24h
Mouse_PFC_Female,NSC95397,-0.3067689,InputSig,NA,NA,LINCSCP_55236,TYKNU,10uM,6h
Mouse_PFC_Female,"(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one",-0.30632093,InputSig,NA,NA,LINCSCP_12658,CORL23,20uM,6h
Mouse_PFC_Female,SCHEMBL570779,-0.30619973,InputSig,NA,NA,LINCSCP_69096,A375,0.37uM,24h
Mouse_PFC_Female,Rabusertib,-0.30610424,InputSig,NA,NA,LINCSCP_112601,HEPG2,1.11uM,24h
Mouse_PFC_Female,Omacetaxine Mepesuccinate,-0.30569538,InputSig,NA,NA,LINCSCP_50500,PHH,10uM,6h
Mouse_PFC_Female,ZK-93423,-0.30568115,InputSig,NA,NA,LINCSCP_221211,HEPG2,10uM,6h
Mouse_PFC_Female,ST072947,-0.30522295,InputSig,NA,NA,LINCSCP_46569,PC3,10uM,6h
Mouse_PFC_Female,Piplartine,-0.30412396,InputSig,NA,NA,LINCSCP_10358,A673,10uM,6h
Mouse_PFC_Female,Quinoclamine,-0.30345934,InputSig,NA,NA,LINCSCP_17758,HCC15,10uM,6h
Mouse_PFC_Female,STK249718,-0.30287146,InputSig,NA,NA,LINCSCP_26715,HT29,10uM,6h
Mouse_PFC_Female,NCGC00170405-01,-0.30275795,InputSig,NA,NA,LINCSCP_16948,HA1E,10uM,6h
Mouse_PFC_Female,BRD-K50204028,-0.30225429,InputSig,NA,NA,LINCSCP_27217,HT29,10uM,6h
Mouse_PFC_Female,CHEMBL2131967,-0.30210046,InputSig,NA,NA,LINCSCP_16562,HA1E,10uM,6h
Mouse_PFC_Female,MLN-8054,-0.30168276,InputSig,NA,NA,LINCSCP_70458,A375,10uM,24h
Mouse_PFC_Female,Oxfendazole,-0.30055773,InputSig,NA,NA,LINCSCP_167173,YAPC,0.04uM,24h
Mouse_PFC_Female,QL47,-0.30041316,InputSig,NA,NA,LINCSCP_113638,HME1,3.33uM,3h
Mouse_PFC_Female,CHEMBL3184547,-0.30038722,InputSig,NA,NA,LINCSCP_22312,HEPG2,10uM,6h
Mouse_PFC_Female,CGP-53353,-0.29955461,InputSig,NA,NA,LINCSCP_23059,HEPG2,10uM,6h
Mouse_PFC_Female,Cucurbitacin I,-0.29937627,InputSig,NA,NA,LINCSCP_28899,HUH7,10uM,6h
Mouse_PFC_Female,ST062844,-0.29806588,InputSig,NA,NA,LINCSCP_219743,HEPG2,10uM,6h
Mouse_PFC_Female,Enzastaurin,-0.29802208,InputSig,NA,NA,LINCSCP_81082,A549,10uM,24h
Mouse_PFC_Female,SCHEMBL1675197,-0.29785023,InputSig,NA,NA,LINCSCP_21813,HEPG2,10uM,6h
Mouse_PFC_Female,CHEMBL569102,-0.29731862,InputSig,NA,NA,LINCSCP_41557,NEU,10uM,6h
Mouse_PFC_Female,PK04_098276,-0.29653343,InputSig,NA,NA,LINCSCP_16554,HA1E,10uM,6h
Mouse_PFC_Female,Withaferin A,-0.29560438,InputSig,NA,NA,LINCSCP_30155,MCF7,10uM,6h
Mouse_PFC_Female,SU 11274,-0.29497735,InputSig,NA,NA,LINCSCP_81217,A549,0.37uM,24h
Mouse_PFC_Female,BRD-K38477985,-0.2945973,InputSig,NA,NA,LINCSCP_22763,HEPG2,10uM,6h
Mouse_PFC_Female,CHEMBL1673039,-0.29446351,InputSig,NA,NA,LINCSCP_149542,NPC.TAK,1.11uM,24h
Mouse_PFC_Female,CGP-52432,-0.29401399,InputSig,NA,NA,LINCSCP_22830,HEPG2,10uM,6h
Mouse_PFC_Female,ML175,-0.29362703,InputSig,NA,NA,LINCSCP_26020,HT29,10uM,6h
Mouse_PFC_Female,STK219801,-0.29357734,InputSig,NA,NA,LINCSCP_53487,SKMEL28,20uM,6h
Mouse_PFC_Female,Neratinib,-0.29291469,InputSig,NA,NA,LINCSCP_81017,A549,10uM,24h
Mouse_PFC_Female,ML162,-0.29266137,InputSig,NA,NA,LINCSCP_12591,CORL23,10uM,6h
Mouse_PFC_Female,Niclosamide,-0.29261675,InputSig,NA,NA,LINCSCP_4756,A549,10uM,6h
Mouse_PFC_Female,Tivantinib,-0.29258291,InputSig,NA,NA,LINCSCP_149570,NPC.TAK,0.04uM,24h
Mouse_PFC_Female,Floxuridine,-0.29247214,InputSig,NA,NA,LINCSCP_174559,YAPC,1.11uM,24h
Mouse_PFC_Female,TORIN1,-0.29242447,InputSig,NA,NA,LINCSCP_24515,HS578T,10uM,6h
Mouse_PFC_Female,Anisomycin,-0.29194742,InputSig,NA,NA,LINCSCP_18451,HCC515,10uM,6h
Mouse_PFC_Female,Obatoclax,-0.29170053,InputSig,NA,NA,LINCSCP_16444,HA1E,10uM,6h
Mouse_PFC_Female,MEGXM0_000149,-0.29161335,InputSig,NA,NA,LINCSCP_22445,HEPG2,10uM,6h
Mouse_PFC_Female,IMD-0354,-0.29113065,InputSig,NA,NA,LINCSCP_21752,HEPG2,10uM,6h
Mouse_PFC_Female,SCHEMBL1564574,-0.29099724,InputSig,NA,NA,LINCSCP_81607,A549,0.12uM,24h
Mouse_PFC_Female,MLS000038106,-0.29092872,InputSig,NA,NA,LINCSCP_10452,A673,10uM,6h
Mouse_PFC_Female,SCHEMBL13586708,-0.2907962,InputSig,NA,NA,LINCSCP_13112,FIBRNPC,10uM,24h
Mouse_PFC_Female,CHEMBL277800,-0.29076746,InputSig,NA,NA,LINCSCP_18088,HCC515,10uM,6h
Mouse_PFC_Female,Dorsomorphin,-0.29059859,InputSig,NA,NA,LINCSCP_23080,HEPG2,10uM,6h
Mouse_PFC_Female,SMR000047763,-0.29055051,InputSig,NA,NA,LINCSCP_5412,A549,10uM,24h
Mouse_PFC_Female,AC1MEEHF,-0.29033157,InputSig,NA,NA,LINCSCP_23111,HEPG2,10uM,6h
Mouse_PFC_Female,SMR000217164,-0.28980558,InputSig,NA,NA,LINCSCP_6589,A549,10uM,6h
Mouse_PFC_Female,Xanthohumol,-0.28917531,InputSig,NA,NA,LINCSCP_46825,PC3,10uM,24h
Mouse_PFC_Female,Chelerythrine,-0.28834108,InputSig,NA,NA,LINCSCP_152287,PC3,10uM,24h
Mouse_PFC_Female,CHEMBL2139663,-0.28804758,InputSig,NA,NA,LINCSCP_26418,HT29,10uM,6h
Mouse_PFC_Female,ZINC03977765,-0.28796981,InputSig,NA,NA,LINCSCP_34517,MCF7,10uM,24h
Mouse_PFC_Female,AZ628,-0.28771711,InputSig,NA,NA,LINCSCP_86609,CD34,3.33uM,24h
Mouse_PFC_Female,AG-205/40776311,-0.28759143,InputSig,NA,NA,LINCSCP_16544,HA1E,10uM,6h
Mouse_PFC_Female,BRD-U86222656,-0.28717791,InputSig,NA,NA,LINCSCP_26318,HT29,10uM,6h
Mouse_PFC_Female,Prochlorperazine,-0.28716345,InputSig,NA,NA,LINCSCP_72120,A375,3.33uM,24h
Mouse_PFC_Female,AZD4547,-0.28709894,InputSig,NA,NA,LINCSCP_86625,CD34,3.33uM,24h
Mouse_PFC_Female,"4,11-Diethyl-4,9-dihydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione",-0.28696933,InputSig,NA,NA,LINCSCP_40275,NCIH596,0.5uM,6h
Mouse_PFC_Female,11K-629S,-0.28651803,InputSig,NA,NA,LINCSCP_22235,HEPG2,10uM,6h
Mouse_PFC_Female,AZD-8055,-0.28558836,InputSig,NA,NA,LINCSCP_81369,A549,0.04uM,24h
Mouse_PFC_Female,MLS-0208612.0001,-0.28522792,InputSig,NA,NA,LINCSCP_20008,HCC515,10uM,6h
Mouse_PFC_Female,DG-041,-0.28488562,InputSig,NA,NA,LINCSCP_54006,SW480,40uM,6h
Mouse_PFC_Female,AB00540133,-0.2845163,InputSig,NA,NA,LINCSCP_10354,A673,10uM,6h
Mouse_PFC_Female,BRN 1088757,-0.28417642,InputSig,NA,NA,LINCSCP_2215,A375,10uM,6h
Mouse_PFC_Female,BRD-K80439608,-0.28408381,InputSig,NA,NA,LINCSCP_64325,VCAP,5uM,24h
Mouse_PFC_Female,Betaxolol,-0.28387025,InputSig,NA,NA,LINCSCP_2508,A375,10uM,6h
Mouse_PFC_Female,H0635_SIGMA,-0.28362538,InputSig,NA,NA,LINCSCP_26266,HT29,10uM,6h
Mouse_PFC_Female,SCHEMBL3958507,-0.28354833,InputSig,NA,NA,LINCSCP_113325,HME1,10uM,3h
Mouse_PFC_Female,Prostratin,-0.28324008,InputSig,NA,NA,LINCSCP_27261,HT29,10uM,6h
Mouse_PFC_Female,BRN 1088760,-0.28306504,InputSig,NA,NA,LINCSCP_26538,HT29,10uM,6h
Mouse_PFC_Female,AZ20,-0.28289752,InputSig,NA,NA,LINCSCP_88929,HA1E,3.33uM,24h
Mouse_PFC_Female,SPECTRUM_000715,-0.28242772,InputSig,NA,NA,LINCSCP_44104,PC3,10uM,6h
Mouse_PFC_Female,SCHEMBL17052537,-0.28235579,InputSig,NA,NA,LINCSCP_24593,HS578T,10uM,6h
Mouse_PFC_Female,NSC119236,-0.28230402,InputSig,NA,NA,LINCSCP_10361,A673,20uM,6h
Mouse_PFC_Female,Linifanib,-0.28222038,InputSig,NA,NA,LINCSCP_69519,A375,3.33uM,24h
Mouse_PFC_Female,BRD-K19166598,-0.28171899,InputSig,NA,NA,LINCSCP_16453,HA1E,10uM,6h
Mouse_PFC_Female,Gallocatechin Gallate,-0.28166904,InputSig,NA,NA,LINCSCP_21661,HEPG2,90uM,6h
Mouse_PFC_Female,ZINC01043777,-0.28161487,InputSig,NA,NA,LINCSCP_23179,HEPG2,10uM,6h
Mouse_PFC_Female,SCHEMBL6874948,-0.28087849,InputSig,NA,NA,LINCSCP_115823,HS578T,3.33uM,3h
Mouse_PFC_Female,PF477736,-0.28075127,InputSig,NA,NA,LINCSCP_81222,A549,1.11uM,24h
Mouse_PFC_Female,CHEMBL2135524,-0.28050233,InputSig,NA,NA,LINCSCP_47175,PC3,10uM,24h
Mouse_PFC_Female,CHEMBL2141722,-0.28004988,InputSig,NA,NA,LINCSCP_26140,HT29,10uM,6h
Mouse_PFC_Female,Methylnaltrexone (Bromide),-0.27986401,InputSig,NA,NA,LINCSCP_71921,A375,10uM,24h
Mouse_PFC_Female,Bithionol,-0.27918646,InputSig,NA,NA,LINCSCP_21525,HEPG2,10uM,6h
Mouse_PFC_Female,Oxetane,-0.27918346,InputSig,NA,NA,LINCSCP_280023,PC3,3uM,6h
Mouse_PFC_Female,KUC104233,-0.2783793,InputSig,NA,NA,LINCSCP_21852,HEPG2,10uM,6h
Mouse_PFC_Female,Amiodarone,-0.27805241,InputSig,NA,NA,LINCSCP_41502,NEU,10uM,6h
Mouse_PFC_Female,CID 45259133,-0.27785969,InputSig,NA,NA,LINCSCP_21879,HEPG2,10uM,6h
Mouse_PFC_Female,Naltrexone,-0.27783567,InputSig,NA,NA,LINCSCP_16071,HA1E,10uM,6h
Mouse_PFC_Female,MLS002473639,-0.27771438,InputSig,NA,NA,LINCSCP_21869,HEPG2,10uM,6h
Mouse_PFC_Female,BRD-K67090983,-0.27754043,InputSig,NA,NA,LINCSCP_47140,PC3,10uM,24h
Mouse_PFC_Female,AZD-1775,-0.27698454,InputSig,NA,NA,LINCSCP_88628,HA1E,3.33uM,24h
Mouse_PFC_Female,AKT Inhibitor VIII,-0.27694871,InputSig,NA,NA,LINCSCP_115116,HS578T,10uM,3h
Mouse_PFC_Female,BRD-K07907451,-0.27693886,InputSig,NA,NA,LINCSCP_8872,A549,10uM,24h
Mouse_PFC_Female,Selamectin,-0.27650146,InputSig,NA,NA,LINCSCP_21476,HEPG2,10uM,6h
Mouse_PFC_Female,"2-[(Dimethylamino)methyl]-2,3-dihydro-1H-inden-1-one",-0.27646659,InputSig,NA,NA,LINCSCP_2671,A375,10uM,6h
Mouse_PFC_Female,Sunitinib,-0.27597971,InputSig,NA,NA,LINCSCP_86686,CD34,1.11uM,24h
Mouse_PFC_Female,ARG-A1-22,-0.27581149,InputSig,NA,NA,LINCSCP_22115,HEPG2,10uM,6h
Mouse_PFC_Female,CHEMBL2130568,-0.27544388,InputSig,NA,NA,LINCSCP_26380,HT29,10uM,6h
Mouse_PFC_Female,BRD-K00199686,-0.27521244,InputSig,NA,NA,LINCSCP_160981,PC3,0.04uM,24h
Mouse_PFC_Female,AKT Inhibitor IV,-0.27427285,InputSig,NA,NA,LINCSCP_43751,OV7,10uM,6h
Mouse_PFC_Female,Buparlisib,-0.27332877,InputSig,NA,NA,LINCSCP_115236,HS578T,10uM,3h
Mouse_PFC_Female,PRESTWICK3_000866,-0.27324905,InputSig,NA,NA,LINCSCP_47812,PC3,10uM,6h
Mouse_PFC_Female,MLS002473641,-0.27317713,InputSig,NA,NA,LINCSCP_22103,HEPG2,10uM,6h
Mouse_PFC_Female,QL-X-138,-0.27273674999999997,InputSig,NA,NA,LINCSCP_22645,HEPG2,10uM,6h
Mouse_PFC_Female,Avicin-G,-0.27230967,InputSig,NA,NA,LINCSCP_49413,PC3,10uM,6h
Mouse_PFC_Female,OSI-027,-0.27209428,InputSig,NA,NA,LINCSCP_24637,HS578T,10uM,6h
Mouse_PFC_Female,PI-103,-0.2720249,InputSig,NA,NA,LINCSCP_115980,HS578T,1.11uM,3h
Mouse_PFC_Female,ST056792,-0.27193564,InputSig,NA,NA,LINCSCP_2026,A375,10uM,6h
Mouse_PFC_Female,MLS002554302,-0.27172082,InputSig,NA,NA,LINCSCP_26317,HT29,10uM,6h
Mouse_PFC_Female,CAY10618,-0.27119684,InputSig,NA,NA,LINCSCP_54348,SW620,10uM,6h
Mouse_PFC_Female,PF431396,-0.27089769,InputSig,NA,NA,LINCSCP_81105,A549,0.04uM,24h
Mouse_PFC_Female,CHEMBL585951,-0.27061355,InputSig,NA,NA,LINCSCP_69551,A375,0.37uM,24h
Mouse_PFC_Female,AS601245,-0.27040338,InputSig,NA,NA,LINCSCP_81340,A549,10uM,24h
Mouse_PFC_Female,BRD-K86078446,-0.26903578,InputSig,NA,NA,LINCSCP_61380,VCAP,5uM,6h
Mouse_PFC_Female,AC1L1JM9,-0.26887183,InputSig,NA,NA,LINCSCP_219176,HEPG2,10uM,6h
