Gene,SRR5961996,SRR5962000,SRR5962001,SRR5962005,SRR5962007,SRR5962009,SRR5962012,SRR5962013,SRR5962019
ABT1,4.322346158,6.473057935,5.932898777,5.971183215,6.344113859,6.161896163,6.929797026,5.70186962,5.999042337
ABTB1,7.539781932,2.197799706,4.698801095,4.292207002,3.917605752,4.51486187,3.392764408,5.397237818,6.824734372
ABTB2,4.470156177,0.932792023,2.096870662,1.883060295,2.246350705,2.80496604,1.904202727,2.613282417,2.771335521
ABTB3,10.19137324,20.94648978,22.81758567,13.67977624,10.41919021,16.13482912,11.82021932,13.15683417,9.194944199
ACAA1,13.64928788,8.332304957,10.80431264,10.81381851,11.23081616,12.08297466,8.095870836,10.15943526,11.84296247
ACAA2,27.63893043,33.13791733,22.61419995,29.3237033,44.35645235,36.14431344,27.41791243,23.12618819,24.41706417
ACACA,4.395389979,8.351227086,7.032682953,7.884433657,2.414766326,5.663711001,5.015737879,3.236269197,2.443694591
ACACB,30.72803978,13.24227053,22.05882922,20.62481048,26.16414146,28.68475876,16.80606314,19.28751579,24.61008011
ACAD10,9.977346043,7.058429888,9.544826451,8.414088329,8.028003654,8.38304478,7.37646104,7.790937596,8.727201094
ACAD11,1.443055505,2.458453698,1.796333656,2.854874653,2.218900592,2.480949911,1.694429882,1.684051012,2.183107925
ACAD8,28.56660897,27.65032208,30.71543468,31.47819681,29.93340116,35.20422537,30.82457485,30.55469961,33.80574852
ACAD9,21.37120163,21.19239296,24.46004467,21.35130434,23.10457376,25.05037027,20.66177028,22.67679733,24.61719016
ACADL,3.067677081,3.160506924,2.599696006,2.964678939,4.043879233,2.939857311,3.710023847,2.240923915,2.244601516
ACADM,53.02688538,72.76272286,67.79646025,66.88181611,74.11247368,65.86393398,69.19316987,66.78616369,60.71619997
ACADS,1.723054727,1.42913436,1.218450085,1.294969981,2.308266399,1.997073344,1.576500469,2.078780915,2.183861256
ACADSB,69.01118686,62.47544404,70.45760299,55.38172592,60.03393029,73.0753589,70.39799166,72.22499198,61.44456275
ACADVL,39.22497236,33.98602893,33.76629979,38.70057388,40.57619337,42.65139978,30.87868859,31.27798169,36.27141786
ACAN,0.900192815,0.849116635,0.315563195,0.566142953,0.188401316,0.766004618,0.653699745,0.632160001,0.871202574
ACAP1,2.965063712,1.553793611,2.771746864,2.107686928,1.960791085,3.130479891,1.824973896,2.272258067,1.950361516
ACAP2,129.8909211,134.781083,117.516871,149.1181334,137.6244848,148.0178236,140.2105078,133.2083191,124.5903789
ACAP3,29.61861602,11.18456573,18.03698009,14.0053407,19.36286778,15.23996958,12.56528144,15.65930484,18.05895067
ACAT1,38.11310962,48.43847077,49.44755948,51.88236607,51.9524596,52.171911,52.98405744,46.99591332,48.43392101
ACAT2,2.805146773,4.602679987,5.577803416,5.597773389,4.995190433,5.044782693,5.550161601,4.620309307,5.147603064
ACBD3,31.03491812,47.89728455,41.45712057,46.21088406,47.76461528,43.17161215,45.68847031,41.31965966,38.45190854
ACBD4,2.974882511,2.464559475,2.181745824,2.521188058,2.657369774,2.648007439,2.350520871,1.708200774,2.442218993
ACBD5,105.4456652,124.2727999,93.64087771,109.4306665,134.0702452,109.3347429,123.2915347,118.4970249,103.7399605
ACBD6,18.65696047,25.99578092,25.71288046,21.19106386,24.71648594,23.41505297,22.38215798,21.51590841,20.17345884
ACBD7,104.019934,187.1895276,78.45634167,127.6711936,212.0580444,134.8375135,121.2759952,96.58315859,106.9628523
ACCS,5.30625021,1.844580705,3.80039628,2.232054627,2.495135856,3.366988932,2.171941294,2.151119055,3.037702258
ACCSL,0.831555509,0.126060067,0.655880269,0.521687942,0.978953721,0.657056034,0.331789494,0.625670876,0.605416368
ACD,2.054832086,1.954951637,1.471693928,2.085982903,1.390266335,1.733452859,1.236880616,1.905939371,1.477267428
ACE,16.29716414,2.779680738,7.536440409,8.598539819,5.992319247,5.433142033,10.60004055,13.79072287,15.43214412
ACE2,1.712318165,0.484548803,1.140483135,1.244004171,0.179185498,0.509974375,0.255066027,1.009219808,0.758068888
ACER2,5.572998452,6.409349728,2.946098256,4.924870929,7.29762541,4.488657082,4.827749583,6.996109599,5.394136604
ACER3,47.69779797,41.60599467,30.3125768,54.20261707,51.37797817,48.29956924,62.43744206,66.35479766,62.55946222
ACHE,17.09300864,9.794823199,13.69164151,12.95562169,8.317443489,10.15727312,11.90332471,15.66892974,17.15848272
ACIN1,55.43410676,34.4386925,43.90565893,34.25781285,40.16632874,45.08322708,34.25096766,39.37409737,42.022121
ACKR1,4.340563111,1.253352007,1.90974734,1.282312367,1.2861789,2.016367214,1.905066525,2.582714474,2.667667018
ACKR2,0.997217892,0.705477443,0.629235722,0.956964666,0.860919221,0.572782421,0.654526673,0.637769406,0.847031895
ACKR3,3.435511184,3.175248842,1.078061317,3.929524452,3.457374807,3.748544334,3.34289591,1.730224544,2.721283636
ACKR4,4.013638576,0.908617947,1.20297106,1.854002995,1.433274308,2.288278661,1.345206427,1.82704116,1.785162531
ACLY,61.22155357,58.70477739,66.22406838,71.49399899,49.00436728,58.63441069,74.00646665,72.47308278,81.71685945
ACMSD,0.481052027,0.082501371,0.229954242,0.189680168,0.343225085,0.471365238,0.15471454,0.175490167,0.279155898
ACO1,50.66314455,48.44125462,44.80075838,45.03814491,54.09471054,58.54800015,44.93770397,46.06479713,44.7521126
ACO2,80.31743387,63.69609256,85.10649142,77.79563181,72.5164351,77.37109868,73.27267778,82.12213792,87.61474956
ACOT1,0.934134305,1.289461922,0.455251225,1.156202457,1.037129806,2.307109842,0.712710099,1.045706949,0.689649696
ACOT11,13.56535978,4.313969659,12.28237931,11.09506291,9.734035094,11.65316051,7.721918548,7.387717911,7.757383939
