SYMBOL,logFC,logCPM,F,PValue,FDR
AFP,-20.172876751284832,0.5656124758784263,259.2595373175761,1.1934909368574207e-19,1.346022740960932e-19
ACY3,-16.82368333165104,2.7585688145919307,258.3380848040426,1.2735899013546675e-19,1.4361164615915998e-19
OR9A2,-18.31705010573442,2.179016787537888,258.33551532870064,1.2738209673649305e-19,1.4361349150015204e-19
SMIM40,-13.339169147693859,7.386823105270391,257.9554528745451,1.3084872489486704e-19,1.4749698699389376e-19
LOC100130849,-19.50035680662124,0.7951999912886446,257.8807686883207,1.3154147355037573e-19,1.482528924310806e-19
RPL7AP64,-19.6133778801655,0.6322743163419537,257.7353111471518,1.3290174387592418e-19,1.497607420461686e-19
GATAD2B,-11.088446994382243,8.678560109462557,257.6162663162491,1.340259715239814e-19,1.5100214308976108e-19
ATXN3L,-20.380155379548306,0.5181734889558597,257.41245586625314,1.3597388581311885e-19,1.5317098723542473e-19
URGCP-MRPS24,-15.901922583158303,3.0670549533145492,257.2513730984194,1.3753440005415288e-19,1.5490277857589303e-19
CDKN1C,-15.3072877235873,4.360418881064194,257.156108975084,1.3846610216311849e-19,1.55925885078973e-19
RPL31P31,-20.114143643943084,0.6252028135411175,256.94330740010133,1.4057129981971491e-19,1.5826989134726025e-19
SLC52A2,-18.88987150584538,2.2315036364288248,256.81912555955813,1.4181526642775866e-19,1.5964360773060882e-19
"NAMPTP1",-16.840716810024443,2.4433253662742493,255.56741862712633,1.550173271355135e-19,1.7447600558799424e-19
BMPR1AP1,-18.553125457693934,1.4422815786967533,254.54112517897016,1.668006856356367e-19,1.8770689539313153e-19
CLUHP10,-20.59153857266512,0.5795259598235951,254.42613735009405,1.6817816657251758e-19,1.8922519027814466e-19
RNA5SP500,-18.711986899657713,0.7301264888359451,254.34210454822056,1.6919235749804906e-19,1.9033428848039862e-19
HBQ1,-19.426205130295,0.4068342533737979,254.00821418404277,1.732857980160135e-19,1.9490645752969803e-19
NDUFB8P2,-18.501560250785833,0.8386731957330404,253.08809570297745,1.8511206277616294e-19,2.081732662928302e-19
LOC100422204,-18.940576491389457,1.4250239491333172,252.52988909274538,1.9269600308759556e-19,2.166655849139228e-19
PTGER2,-19.620121469968993,0.7400420959733862,252.50528026965674,1.93037743397771e-19,2.1701335556095636e-19
KRT18P34,-19.45761633039186,0.8822452690483295,251.95206820985155,2.0089003359305818e-19,2.25802963317756e-19
HCG22,-15.6143724079959,5.566492926500848,251.31571841444497,2.1033780558279116e-19,2.3638265818939686e-19
MFN1P1,-19.72038635191093,0.44425512578524706,250.99885517306654,2.152146748296665e-19,2.418227717009305e-19
PPIAL4H,-19.99427633966271,0.8893680348615899,250.83085017242072,2.178483583159025e-19,2.447409588134148e-19
OR9G1,-18.3815267857537,1.3353458867251635,250.66104102247678,2.205446457367443e-19,2.4772848620202903e-19
DMRT3,-18.587738211054422,0.9862690388867326,250.39837340886953,2.2478442670572613e-19,2.5244846041548056e-19
ZNF878,-19.55981053291949,0.7582448977174763,249.98107139632143,2.3169661854569395e-19,2.6016764838881096e-19
LHX1,-20.773060184559203,0.5186668081080755,249.77103454398298,2.352595455497968e-19,2.64124051725846e-19
GTF3AP2,-19.664633424603473,0.47065215786945525,249.39896209333335,2.417127089357658e-19,2.7132342843955995e-19
H2BC9,-18.9095082462808,0.6398331910061309,249.00088359968117,2.488226004443984e-19,2.7925744536452704e-19
RBM17P3,-18.91346402908221,1.6794153848853346,248.57129227925554,2.567416019390881e-19,2.88096724605026e-19
RPS4XP17,-19.479901486629753,0.9696622734887926,248.47756228750984,2.5850421797488313e-19,2.9002595002247454e-19
RPL34P17,-18.025247966139073,1.7720544163790986,248.2965791852477,2.619436073464711e-19,2.938354501996554e-19
POU5F1P6,-18.864714172621053,0.933113537875841,248.22849525807572,2.632498454755977e-19,2.9525120999099148e-19
AGK,-13.707308711390052,6.893870639702396,248.05579056588638,2.665940005724108e-19,2.989517635924319e-19
ZNF729,-18.362688254888415,1.942105784725017,247.98745481895236,2.679294732585119e-19,3.0039896859305836e-19
HAUS5,-17.469970316426103,2.116841623801438,247.75928392962086,2.7243955717773317e-19,3.05404423992267e-19
