SYMBOL,logFC,logCPM,F,PValue,FDR
STKLD1,-41.9820870959713,5.668620386396757,1559.3998384717001,4.252487686125488e-35,5.81800367606237e-35
TENT5B,-57.89288626443114,1.0839626292013584,1557.4746554748222,4.362478351201667e-35,5.967217357703662e-35
DDX11L16,-44.44136133921992,4.82399404592779,1557.0535275260302,4.3869331527648404e-35,5.999392213379298e-35
LOC100422317,-51.67113771124168,2.683995444553284,1556.4388523317027,4.4228851739476365e-35,6.047273182572826e-35
TGM1,-53.33922505751795,1.9924491752294882,1555.8590015778834,4.457083189932984e-35,6.092736115775369e-35
LOC100419503,-56.45313502084737,1.3218976357660788,1555.7779936691607,4.4618828129845054e-35,6.098001303575382e-35
KRT18P61,-53.81846120563362,2.0163138634653253,1555.192747222873,4.496719165190234e-35,6.144306369938143e-35
MOAP1,-25.514655164921034,11.694213072221043,1554.6808334872924,4.5274239551232964e-35,6.18494761166026e-35
LOC100420572,-57.6280521432868,1.0153238958975843,1554.4517744067257,4.541234030523328e-35,6.202496500712647e-35
RPL14P2,-53.20725956995395,2.04332454321194,1554.319017020094,4.549258217899634e-35,6.212137150445414e-35
FCF1P3,-53.73175473213302,1.9807315219810844,1552.7170486238138,4.647264149491955e-35,6.344620176927366e-35
CRYBA1,-55.746888660232045,1.5566142424907332,1552.5132868954747,4.659887546644286e-35,6.360504262160555e-35
TREML2,-51.93408858254767,2.5185599543450548,1552.4303404602501,4.665036502244842e-35,6.366181548354067e-35
HES1,-43.12409850120821,5.523481378320534,1551.4103567766156,4.7288419769690264e-35,6.45188556475965e-35
LOC100127892,-52.07139111439147,2.4135954954080012,1551.32766483853,4.7340546918643243e-35,6.457628039177947e-35
LOC149844,-57.399638686017454,0.9779646305672289,1550.572546931951,4.781934902434609e-35,6.521557605970286e-35
TEX53,-55.169997728037615,1.5521175240201337,1550.3424833027204,4.796623255868883e-35,6.540202926028937e-35
RPL28P2,-52.0508874139243,2.0381474719818975,1547.597908720629,4.975539009287185e-35,6.782717195750045e-35
ABHD10,-35.917714568559305,8.199221832442841,1547.301867857311,4.995250855952502e-35,6.808145922953908e-35
NDUFA3,-33.93093615103563,8.96448206811502,1547.0531866656415,5.011872458578325e-35,6.829353002760932e-35
DCAF11,-32.715518751294354,8.961587062700948,1546.755867053853,5.031821047461768e-35,6.855083608284955e-35
EPPK1,-51.72029467481076,2.7915711395169414,1546.0845558549258,5.077168922103727e-35,6.915398618651973e-35
TMEM92,-57.885115064120434,1.077041200421587,1545.4841206796775,5.118091620853702e-35,6.969662023063478e-35
LUM,-51.69033166795865,3.0942209540960217,1544.8322102958052,5.162913932622193e-35,7.029211709747845e-35
CDRT15,-58.17108786694975,0.8828619877683558,1543.8194777302958,5.233361714345416e-35,7.123617416077879e-35
NEFL,-23.970412578668675,12.069684645772913,1543.7577605229146,5.237687300669042e-35,7.127997124011836e-35
OR4E2,-50.04119720449474,2.9640753520104752,1543.0931288304128,5.28450742667954e-35,7.190193797764273e-35
ANKRD49P2,-50.479473084020135,2.7456421848164307,1542.3233333051949,5.339284108317067e-35,7.263187707507653e-35
RPL23AP50,-55.2210562988368,1.447373782173816,1541.5021349580236,5.398374389576264e-35,7.342017430897274e-35
RPS7P11,-54.292074690296836,2.031304962606906,1540.8199680443006,5.44798110458402e-35,7.406812298817018e-35
CACNG8,-32.16799416929798,9.09991518279558,1540.8153445081227,5.448318948857784e-35,7.406812298817018e-35
SPDYE1,-46.788954964205026,4.173548517085655,1539.9759947502694,5.510015663450089e-35,7.48910432346808e-35
HGFAC,-58.02241063197107,0.8806790635182051,1539.6773616978958,5.53214287084944e-35,7.517590850902926e-35
RPS12P12,-55.95382935069946,1.3007853207769797,1539.6329813864247,5.535439161698211e-35,7.52048154745609e-35
NPIPB8,-52.50851292547758,2.0881692907522895,1539.2459898071259,5.564269771063575e-35,7.558054779825164e-35
SCAMP3,-40.37278304929544,6.319858811564532,1538.1370149321613,5.647761842062356e-35,7.669844190413159e-35
RPEL1,-52.93789714325421,2.39633482672573,1538.042151465516,5.654964533951498e-35,7.678004822057826e-35
ADAM32,-30.017197506621475,9.637379640285607,1537.7342070192908,5.678412174772818e-35,7.708213867970781e-35
DMRTA1,-52.187063618917406,2.5730590605177155,1537.591638472594,5.689302146659942e-35,7.721367238283419e-35
MTCO1P40,-52.59494005403855,2.6759396336484293,1537.3045585598745,5.711296897361285e-35,7.749582986864616e-35
MATR3,-31.594891725361823,9.451826163921098,1537.143747330843,5.723656408852739e-35,7.764715663886476e-35
UTS2R,-40.62429225854937,6.161772093878188,1537.071600068827,5.72921054842026e-35,7.770611734764397e-35
UFSP1,-58.79312212375308,0.9201798449188119,1536.8870784373307,5.743441336177296e-35,7.788271103631648e-35
RS1,-52.47597333841108,2.7179177047873733,1536.479027916015,5.775042841548849e-35,7.82947325599236e-35
SNRPGP18,-58.246560977716975,1.4218097718193219,1534.5006292351336,5.9308621602578e-35,8.03902997828454e-35
STARD6,-54.78633187952051,1.8400509779661973,1534.330352966301,5.944477360629872e-35,8.055787415405934e-35
SMBD1P,-47.73056392304753,3.8085554558459562,1532.5677917240707,6.08734895414515e-35,8.247665505900538e-35
GCHFR,-55.46855906472742,1.911529848967734,1532.4814271379655,6.09444133844407e-35,8.255536140284419e-35
NR1D1,-41.501178632081796,5.948760068607583,1528.5246995474406,6.42883239579824e-35,8.706669221509491e-35
ARL14EPP1,-56.39659596028351,1.2288772786284317,1527.2472230483518,6.540853253277703e-35,8.8565163077953e-35
TAS2R40,-54.01387578323465,1.8157563011897382,1526.419535622382,6.614522081067309e-35,8.954381428347222e-35
RPL9P8,-47.32606527905435,4.249410340551456,1525.9894496284264,6.653144681271498e-35,9.004771667287934e-35
SPNS3,-57.80807068011318,1.1429162384926304,1525.1054202070266,6.733275752642672e-35,9.111308985433383e-35
ABHD16B,-58.35954603180587,1.0282797780094621,1524.3688990836527,6.800807818886191e-35,9.200756403553074e-35
RNF133,-51.42268264139026,2.8811712380643737,1524.3188860362498,6.805419185513716e-35,9.205059213711046e-35
POLR3E,-43.99279308039201,5.590594863937872,1524.2796508012743,6.80903909431409e-35,9.208019443708752e-35
MORF4L1P5,-53.53957226760825,2.122100611780251,1523.9806027587324,6.836696105417322e-35,9.243477521258855e-35
MTHFD2P2,-57.03163156861615,1.3537403507532861,1523.839243784661,6.849810398453338e-35,9.259262511714715e-35
LOC100130664,-53.89964592359985,1.718045670197857,1523.2886132001331,6.90114571463691e-35,9.326695458457824e-35
HTD2,-44.043713672543056,5.459174313119646,1522.166204574448,7.007039461193146e-35,9.467818704863581e-35
CICP27,-42.201057879154114,5.6308974743196485,1521.9238986470382,7.030122324529471e-35,9.497013211612367e-35
MTCO3P12,-46.903518564815045,4.506117994222409,1520.8023029851358,7.138011229080503e-35,9.640736140389435e-35
LOC100420298,-56.18975633355468,1.4453432230763157,1520.771164345054,7.141031146821295e-35,9.642790379408354e-35
MTCO1P22,-57.7436769192154,1.2028534331837375,1520.483511415574,7.168991927532625e-35,9.678515229762304e-35
BBS10,-37.77919148861648,7.547405860306407,1519.7291187903618,7.242867224453533e-35,9.77619908831506e-35
RPS3AP6,-46.86989937196738,4.2811845656197,1519.1526939499643,7.299851728783306e-35,9.8510480745254889e-35
PALM3,-53.67679819434308,1.8141057479622558,1519.048477904477,7.310204385055775e-35,9.86294983411573e-35
MTND2P11,-57.74115801668417,1.0132781894403742,1518.5238051116924,7.362558583974665e-35,9.931503327890338e-35
LOC101928535,-45.475980862021416,4.509659207183324,1518.2893180152935,7.386083560666632e-35,9.961147913159004e-35
IFNW1,-56.41258380230396,1.3859257751722482,1518.1218895725192,7.402929016433391e-35,9.981773708387342e-35
SUMO2P14,-56.07900292029956,1.313056408717068,1517.0347527225094,7.513292238120115e-35,1.0128459548999726e-34
TAS2R39,-53.794769728464594,2.0075531806600235,1516.8209782244787,7.53519601169478e-35,1.0155859196151795e-34
RPL5P3,-54.47830194998726,1.7231839101213113,1516.7786899948749,7.539536866680444e-35,1.0159581203048868e-34
ZNF648,-56.16227596750734,1.4640987684203786,1516.692141197405,7.548429201395422e-35,1.016943351886424e-34
ACSM4,-54.811537957308595,1.8579958766347888,1516.415159053606,7.576961228758368e-35,1.0205735256407575e-34
RPS3AP29,-49.167096209360196,3.4275874773505537,1516.2597019691764,7.593024373793578e-35,1.022523043680429e-34
GOLGA8IP,-42.71106995291841,5.940535325492015,1515.586242522578,7.663024868365332e-35,1.0317337584385554e-34
UTP4,-40.32533020312625,6.603814939187068,1515.556672791561,7.666113838980964e-35,1.0318474604751727e-34
DUXAP1,-57.55463346942326,0.9872332147381643,1515.547451933368,7.667077352823452e-35,1.0318474604751727e-34
AMMECR1LP1,-48.222213378367464,3.7329046996484547,1514.7324160435057,7.75274576203573e-35,1.0431586171758177e-34
FEM1B,-28.595196799023334,10.630811175025196,1514.5087654392105,7.776428508394942e-35,1.0461264030636692e-34
RNF208,-50.549226932997385,3.018808165960639,1513.7055338387136,7.862110571347154e-35,1.0574316810678703e-34
FBXW4P1,-52.115586118083556,2.4109117141623853,1512.9063357234634,7.948343978259087e-35,1.0688063714912354e-34
FAM204CP,-54.33312642925098,2.1180205077032563,1512.846288463296,7.954862947646047e-35,1.0694594219896974e-34
RPL17P36,-58.69206898947131,0.9558481967755328,1512.0566264821498,8.041114635378788e-35,1.0808293031632207e-34
RPL21P5,-57.63853735285576,1.0789426377302378,1511.5623409530651,8.095601353722732e-35,1.087925705211998e-34
TPBG,-39.271935286966254,7.207711830009503,1510.6669737530376,8.195287341312718e-35,1.1010919688108754e-34
TGM4,-57.88219158158963,0.8175146300696144,1510.6208177125172,8.200460848350037e-35,1.1015569980671494e-34
SOCS5P4,-56.75578144499642,1.396675770971628,1507.5657576958788,8.550614519976795e-35,1.1483528853238146e-34
MNDA,-47.65428810476458,4.352599573137527,1506.7321930742473,8.648846683357045e-35,1.161303083156666e-34
CTAGE3P,-49.07980291982127,3.38809234278832,1506.576896273436,8.667277986276184e-35,1.163535043524931e-34
MTCO1P47,-57.376609309843886,1.2178317388754019,1506.1584421976333,8.717146958373974e-35,1.1699855285462085e-34
NPTX2,-37.90927397884899,7.5737956267064375,1504.796970321349,8.881488872241631e-35,1.1917942827519902e-34
SYT8,-54.24691102641849,1.9605560416848893,1504.410020747013,8.928786870250539e-35,1.1978912604029555e-34
TAS1R3,-56.07106964111582,1.4021738213058084,1504.1899888407177,8.955799586478291e-35,1.201264777727582e-34
CALB1,-33.731129071623926,8.870344775865705,1503.8746599443339,8.994660940250338e-35,1.2062258459168318e-34
ACAT2,-37.240195414909536,7.642135489797259,1503.660384639424,9.021169109867968e-35,1.2095285719837565e-34
GJB3,-54.04736643789852,1.975743051706558,1503.3582911913986,9.058680375865246e-35,1.2143048730556602e-34
ND5,-23.924555880811155,11.956389180886902,1503.3110414286853,9.064562183956694e-35,1.214840177695696e-34
