Name_GeneSymbol,AI,AI_Pval,CG,CG_Pval,DLPFC,DLPFC_Pval,NAC,NA_Pval,OFC,OFC_Pval,SUB,SUB_Pval
TSPAN4,0.189196022071223,0.586035817061232,0.134453576743066,0.747563953283088,0,0,0.167380900698097,0.628671236388683,0.146970996510415,0.675202371982918,0,0
PRKX,0.187755006530033,0.165719447168789,0,0,0,0,0.124667909911483,0.348307819866595,0,0,0,0
NOS3,0.184911627114207,0.613923234534463,0.249484211042337,0.584601092696275,0.2318428920517,0.5562655317238,0,0,0.266721424491739,0.463692472969076,0.142040823917122,0.70531599167846
CCDC92,0.182205199902253,0.445307880472717,0.300341349848889,0.287096734011421,-0.0206611949101573,0.954615770995603,0,0,0.16749061936019,0.464179719719568,0,0
PPIC,0.180616440434672,0.52981332190165,0.206437579011346,0.530728582595231,0,0,0.0635957949347736,0.838997360913553,0,0,0,0
TGFBR2,0.177197849897292,0.146994627639852,0.156314891118013,0.36610313799228,0.125085096486118,0.296811562731342,0.112060705602088,0.301533881845739,0.126804192565915,0.413934081253591,0.118209062002398,0.39140803097631
PLCB3,0.173364803764313,0.304008659580939,0.0764225560799626,0.683791826927683,0.115347246819747,0.527502912603548,0,0,0,0,-0.0170754044829348,0.929263154114465
FAS,0.172765011938362,0.464778404571898,0.0677415585929449,0.731188640261995,-0.0290681452266194,0.858425302798587,0.195482442479192,0.167665921816608,0.174725839768751,0.225284559655046,0.216025634113303,0.152300013586651
SYNE2,0.171858067651342,0.0297212922688837,0,0,-0.00968931618083264,0.891009207364662,0.139765544901673,0.0492971421620977,0,0,0,0
NET1,0.166591149790156,0.0556441147562147,0.0775038832763282,0.496650402047149,0.21307028476547,0.0218143329069306,0.146650263749886,0.108137083229584,0.177673986336306,0.0356863670276224,0.0739724792451944,0.471310856285402
BDH1,0.163092082897819,0.31121869734902,0,0,-0.0376871277144782,0.823811175870499,0,0,-0.00542196599672955,0.969853980961342,-0.0429645127485495,0.819286469021382
BUB1B,0.161269195312197,0.708496739760209,0,0,-0.0315528963514746,0.932385529279123,0.13952183424253,0.59834679390089,0.0796443363593188,0.848708741097194,0,0
TP53,0.160994646879616,0.504125640791963,0.233056592114577,0.41500363218232,0.0683517603027395,0.798063541448486,0.144219853271576,0.522063889227256,-0.0104396351467201,0.966075258694218,0.10235578092596,0.651450131695299
IKBKB,0.160097036192357,0.0933893399880024,0,0,0,0,0.0591211721155008,0.549144828494706,-0.0129926229057397,0.892586524455481,0,0
SLC5A6,0.159618831710798,0.22472867563741,0,0,-0.0420841838251729,0.763189795359019,-0.00014642263029718,0.999203016460009,0.120601126700097,0.417194338226629,-0.0447871861498254,0.780366556850352
HOOK2,0.158444931919605,0.217340018631191,-0.00990577704678593,0.948284728413137,0,0,-0.00622454160058629,0.974877554106621,0,0,0,0
RRS1,0.1580952758768,0.392943548970616,0.110925367305072,0.596715947992615,0.148677599085006,0.344936897387092,-0.0106507770459231,0.946330969056824,0,0,0,0
RAB27A,0.155978065211666,0.504368184821178,0.094488524320601,0.703049200406752,-0.0471499911853612,0.827548950191239,0,0,0,0,0.0976556064324316,0.632873250119524
CD58,0.155911268957203,0.591363956244015,0,0,0,0,0.191132445186423,0.330972174793579,0.23250895845111,0.441885428854788,0.0723457296717924,0.811607446149269
CD40,0.148198104447125,0.665390932293353,0,0,0,0,0,0,0.228441858902763,0.530150083263846,-0.0311231412317691,0.925435021773809
CCL2,0.146833797188278,0.762684617328283,0.123571114803786,0.785655001758723,0.165117840030182,0.750183030037349,0.293252304451534,0.489135280307913,0.0775038502147448,0.862752045136673,0,0
POLD4,0.145681148312762,0.499616050184507,-0.0421952670029541,0.859652644347817,0.0571884639541313,0.785054090190442,0,0,-0.025545430488196,0.898679937986704,0,0
GPC1,0.139702198661359,0.149398232906715,0,0,0,0,0,0,0,0,0,0
PTPRC,0.139159045285038,0.358968971097465,0.309344644586492,0.347670231695146,0.103609224024539,0.467276470560911,0.162214031375273,0.319973757323091,0.172025569861941,0.274015287846258,0.176920067952243,0.318303425571088
NPEPL1,0.138726306984568,0.804377577097233,0.163218110409032,0.797553177700637,0,0,0,0,0,0,0,0
CFLAR,0.138443359315684,0.0934187581187766,-0.0348571476493943,0.743179684105758,-0.0377858158035385,0.623858109433028,0,0,-0.0386400933065002,0.613672463973758,-0.0275392385380045,0.796670501584443
AKAP8L,0.137629593450312,0.0292416915251275,0,0,0,0,0,0,0,0,0,0
RBM6,0.132111126388903,0.0812118058656335,-0.0189403321907059,0.828280455185743,-0.0100639434797012,0.888786431705702,0,0,-0.0337825575580151,0.584084861264505,-0.0249925709771478,0.713104377327303
EZH2,0.131924897861246,0.567488160717453,0,0,-0.029444636151429,0.904341860185325,0.0747301942840007,0.688406984934679,0,0,0,0
STK10,0.130923348269964,0.402456295947828,-0.00211576350901713,0.989393366596341,0,0,-0.0241155262907142,0.875907666865771,-0.0327729725090043,0.839220737062737,0.125264325980088,0.403429630385393
NFKB2,0.129294634967845,0.693168839977165,0,0,0,0,0,0,-0.0563128874450701,0.86109127704111,0.0584019120194503,0.854727313591971
PPARD,0.129129362375339,0.22320087595586,0,0,0.0772552119766993,0.464284435266814,0,0,0,0,0,0
PXN,0.126886366237498,0.474833223949775,0.112033891518886,0.509543210835935,0,0,0.0382337135699396,0.845492239672673,0,0,0.0649431610700704,0.677340858850464
EPB41L2,0.124821417568831,0.0379621318734868,0,0,-0.00350273125630574,0.950903048554658,-0.0112338574951117,0.839776943125552,-0.00246550889221741,0.964828792083437,0.092432889274823,0.153992155855363
NOL3,0.123968210443894,0.588248478404243,-0.0284359752214912,0.917138362557602,0.186389283437475,0.399836250284498,-0.0349860673274666,0.89205415687705,-0.0326604367954442,0.870345028311531,0.0838394475661485,0.713649311630968
LYN,0.122703808592972,0.468907166357655,0,0,0,0,-0.00582195147307256,0.96828821221421,0,0,0.118188125138929,0.544364481621023
CDH3,0.121629828995335,0.587249321675049,-0.00925216856982888,0.972793348009002,0.0578630270264355,0.819790202929885,0,0,0,0,0,0
S100A13,0.120408132825335,0.298873892161199,0.0667876098187251,0.672411918091977,-0.0381867333172431,0.725874474724596,0,0,0,0,0.143237115470278,0.247369909441015
PXMP2,0.120341111185732,0.611329856267115,0.086301756651957,0.771289193180068,-0.0352194414170521,0.881357786489187,0,0,0.0824729122007622,0.694980432159337,-0.0138167806666158,0.972646403273784
TES,0.117606199360604,0.713601000891172,-0.0138770864907898,0.972791620303679,-0.0529468032730982,0.873457631539479,0.0541058413678055,0.846846137540997,0.096904899635939,0.77857973707904,0,0
KIF20A,0.116976942292089,0.815456008016034,0.173176554395606,0.788533332656411,0,0,0.0777788586143371,0.866349507902467,0.119442111342868,0.813440953177375,0.115762367507049,0.821226442741588
