Gene,SRR5961948,SRR5961952,SRR5961953,SRR5961957,SRR5961959,SRR5961964,SRR5961965,SRR5961971
ADAD2,0.435703117,0.159636662,0.183575265,0.348815607,0.245681931,0.141938499,0.039083801,0.172674913
ADAL,16.11674753,15.23474561,15.93563383,13.01085293,16.97965829,18.36710681,18.36510782,17.99776113
ADAM10,96.34388213,98.72451175,87.66519365,105.0753884,109.3105448,98.79177286,113.4948821,97.16531995
ADAM11,43.48984944,36.56839833,47.34309474,34.22064695,29.11350475,31.58339116,33.08409441,38.32171305
ADAM12,5.988161085,4.592699208,5.689935469,4.221557081,4.110560237,4.467783781,3.615389899,3.494102632
ADAM15,7.592538476,6.950295626,5.452275155,11.71150244,8.977868118,7.56899509,4.90705197,6.600067599
ADAM17,53.16026922,52.75051473,45.01001076,46.53961605,61.28346347,59.65357512,52.10639311,48.45647881
ADAM19,30.4269692,25.30268589,25.11068993,22.44549236,23.62805419,25.21409943,23.07830863,21.39907337
ADAM1A,11.12949457,9.530214448,9.097051837,7.569987935,12.09486897,12.03713322,11.14155373,7.873217338
ADAM20,37.99885099,31.11544073,14.41887938,16.99537859,30.15515241,30.61349993,29.63374906,22.12827809
ADAM20P1,9.157884615,7.91626016,7.326235772,4.372423499,7.501679859,7.489397693,5.841326025,5.966222054
ADAM21,7.269943647,6.587646258,4.696974153,3.586830773,5.863364944,8.337757029,7.349125883,5.333062992
ADAM21P1,1.225002559,0.771554974,0.381363943,0.795031898,0.417588477,0.631857133,0.661148581,0.34590787
ADAM22,336.3933255,361.0643024,387.8787087,314.841524,362.6446693,407.1221371,407.0262304,378.6623802
ADAM23,144.3868436,115.8108171,154.8673578,98.63279312,99.92269121,125.1374582,129.6374822,109.6730304
ADAM28,4.919662319,19.12852641,11.06619335,25.44868058,27.29643874,14.4009109,16.10374486,12.40399614
ADAM29,0.936655948,0.884914341,0.62485025,0.655385411,0.661396006,0.531440535,0.359188428,0.484891953
ADAM32,0.635477724,0.588387761,0.61397046,1.533271304,0.38416545,0.452110113,0.634908262,0.618765057
ADAM33,3.702016645,2.70948776,2.386396835,2.897828512,2.795380409,2.188418758,1.488769212,1.898857136
ADAM7,1.543964824,1.068982345,0.651892774,0.582673443,0.932716922,1.330657046,1.365695538,0.846194764
ADAM7-AS1,0.874276525,0.970552722,1.51912754,1.014408894,1.782240618,1.719911523,1.663341115,0.822907479
ADAM8,1.509702489,0.986617231,0.949583412,0.87919856,0.987267078,0.756456816,0.735162,0.426299495
ADAM9,44.43895822,54.96592878,50.69529736,56.50692594,66.12477032,65.25721153,58.08101787,58.76119568
ADAMDEC1,0.642568754,0.25960348,0.482245272,0.31765947,0.50849471,0.497156085,0.513358323,0.264606101
