SYMBOL,logFC,logCPM,F,PValue,FDR
TAS2R40,-55.833529121394534,1.8919062568786562,554.1764993511291,6.256245554313792e-26,7.708238444060592e-26
RPL27P11,-59.25276009080794,0.7846858725030622,554.1308356663408,6.266400460445902e-26,7.719328302011537e-26
RPL5P13,-57.073695789249875,0.9103915170683706,554.089958008957,6.275505670841216e-26,7.729121235915466e-26
PIRT,-52.64192047437688,2.7761011238367654,553.7725158100964,6.346687002431045e-26,7.815351502073133e-26
GJB2,-52.93727571706436,2.1013498658190675,553.3668186097726,6.438891061121452e-26,7.927432782595508e-26
MTND2P41,-57.1721379560788,1.139412240474483,552.6660474980654,6.601476972331972e-26,8.126109581878646e-26
RPL31P14,-56.923128498325745,1.4249027897575597,552.4635308750144,6.649259415943771e-26,8.183421570054809e-26
RNA5SP212,-57.94952820635758,0.9460976221820098,552.2867443185992,6.691267130739067e-26,8.233606666209276e-26
CARTPT,-40.15696598509176,6.723727716842296,552.204679790067,6.710861529393503e-26,8.256198780598335e-26
LOC100420466,-58.71921187601641,1.1828047203538767,551.9325373370813,6.776271681394546e-26,8.335138153153387e-26
GOLGA8T,-44.30085575090955,5.340752224228082,551.4344451538377,6.897724729198648e-26,8.482971265602087e-26
SNRPCP9,-52.37636560985465,2.2858959970082955,551.2720956831348,6.937802352362721e-26,8.530691164513647e-26
CNOT3,-35.54713652101238,7.971950163851189,549.2195065238409,7.466072412778059e-26,9.178562464449997e-26
LINC01347,-41.4023715344468,6.123069149361325,548.8505504156643,7.565413593400014e-26,9.298980434813063e-26
RPL5P21,-58.58456040203508,0.6456747130362542,548.7557343189018,7.591165685172461e-26,9.328919211486054e-26
CCDC188,-56.04637712627904,1.6735240679764753,548.3764496257795,7.695101269832843e-26,9.45491043238646e-26
HMGN1P16,-58.120559371936366,0.8020380254744855,547.6423517641641,7.900522806550808e-26,9.705527466119073e-26
SYNJ2BP-COX16,-51.121243582643935,2.9339054232515025,547.0754398005436,8.063087344478188e-26,9.903413743520859e-26
MFHAS1,-47.989751718757866,4.1185452923537875,546.875833730267,8.121155928852184e-26,9.972904719679136e-26
MTCO3P43,-59.73008441428219,0.5161840556389831,546.6628123428078,8.183610609810285e-26,1.0046027309697298e-25
RPS26P21,-60.58729699661289,0.7053000861139571,546.6624916521093,8.183705009798263e-26,1.0046027309697298e-25
UGT2B15,-53.27650585620658,2.48229940706912,546.5195003849047,8.225910409824847e-26,1.0095984354370349e-25
LOC100420899,-58.881271296618934,0.9491337318289783,546.4467064085276,8.247483833436179e-26,1.0120605276436361e-25
SPACDR,-57.7649960234888,1.1287806783338914,546.368598650036,8.270697977557999e-26,1.014723014891516e-25
LOC100420545,-56.75661504689533,1.5117794376830864,545.8156425517723,8.437009762056176e-26,1.034937801180887e-25
MAML1,-37.41442299554201,7.46311693415678,545.3615290398886,8.576211170173216e-26,1.051820251508776e-25
GUSBP9,-45.18819061578623,5.196875989857062,545.3028082451383,8.594385956573484e-26,1.0538560524934928e-25
NT5C3AP1,-55.721208542633285,1.1158094987526463,545.2360536297266,8.61509630972383e-26,1.0562019650979234e-25
SLC5A4,-44.74267602058785,4.480132231010262,545.1878274683717,8.630090799141855e-26,1.0578463873091419e-25
HSP90AA6P,-53.12429595064459,2.319587383611798,544.9582695195319,8.701840630289641e-26,1.0664458038843423e-25
LOC651644,-61.958820443268486,0.5063138030118101,544.5725455595864,8.823811415228019e-26,1.081195723694087e-25
LOC100419562,-61.21529367395212,0.2992828468424155,544.5365832829347,8.835274028365228e-26,1.0824019775775642e-25
TSPAN8,-57.87104403453046,1.382006340398002,544.4804163784324,8.853207871555792e-26,1.0844004294604777e-25
LOC100421023,-58.25133147785012,1.3209302990294651,544.1971706201113,8.944229674450006e-26,1.0953488153130007e-25
PTGER2,-58.759068291351035,0.7400428546125591,544.087682295827,8.979676217653466e-26,1.099488453594802e-25
RPL7P39,-59.88636097406932,0.7958545441680666,543.5532866556141,9.154809056801611e-26,1.1207268993584548e-25
NOSTRIN,-46.65045313392651,5.009915200945588,543.3307248556629,9.228799055215595e-26,1.129577985001594e-25
NDUFB8P2,-57.54966900512393,0.8386730304191983,543.1525583949671,9.288481210141786e-26,1.1366749142817126e-25
FAM86B2,-43.97683893415086,4.975447651984442,542.917547938446,9.367823840441076e-26,1.1461747515769227e-25
PNMT,-55.49186413676863,1.5175984500364905,542.6648498646692,9.453930492540566e-26,1.1564985564119212e-25
CCT5P1,-58.3248761656143,1.0691425104219048,542.5116852189492,9.506524323357854e-26,1.1627197147365274e-25
TFF2,-58.63868537789123,0.9781046898139347,542.3954349133246,9.54664697192517e-26,1.1674135574992222e-25
RPS20P33,-57.16071238853077,1.1267303712178462,540.6971019959713,1.0153465638761011e-25,1.2413915492171889e-25
GPR39,-55.21362040334747,1.8026838007602577,540.3441685882358,1.028456342981368e-25,1.2571901458703162e-25
TAS2R39,-55.62102321721686,2.064318219426849,539.3577285714225,1.0660465668738267e-25,1.302902518877951e-25
RPL21P23,-60.375667903619174,0.7591331801678551,539.1257773633478,1.0750927285986106e-25,1.3137185351837973e-25
RPL10P12,-58.40338569438141,0.7393838933074957,539.1132906251302,1.075581989544447e-25,1.31407633389275e-25
LOC102724770,-52.692827428597965,2.1275649381316315,538.8506337724742,1.0859277498541393e-25,1.326473834692173e-25
KRT18P50,-59.326731694896594,1.0728832879427534,538.78622012472,1.0884808101102194e-25,1.3293496693129921e-25
HMGB1P23,-61.48231284262303,0.5516687696659757,538.2031544000067,1.1118788537759881e-25,1.3576775562080293e-25
SSX1,-57.60555894787501,1.0613057417424243,537.7560296980356,1.1301782379167998e-25,1.3797704386613385e-25
NR3C1P1,-57.89333029526588,1.1778681769851904,537.6593412390864,1.13417670379717e-25,1.384399264908626e-25
RPL23AP7,-41.71886854998826,6.174458523364378,537.5494283962637,1.1387400518485452e-25,1.3897157830350153e-25
EGR1,-35.806515278783635,7.177668421756255,537.4114850380564,1.1444943927590064e-25,1.3964835813872663e-25
MTCO2P11,-58.465391829000346,1.0511353086167756,536.3148647742715,1.1913378051699835e-25,1.4533756299073535e-25
LOC102724159,-41.96916478177792,6.349367301069593,535.626927546616,1.2217450954650898e-25,1.4901992967844613e-25
NKX6-2,-47.20584291565402,4.682916711162855,534.895012817552,1.2549902366921647e-25,1.5304703178183938e-25
NDUFA6,-31.753009941755604,9.831272494041821,534.6586223480932,1.2659289236106004e-25,1.5433019855819858e-25
FOXD4,-57.71822240303679,0.9148267992858177,534.6576593816914,1.2659736873805288e-25,1.5433019855819858e-25
LOC112694756,-54.109213712431064,2.2216609798799913,534.5893511274127,1.2691532495032214e-25,1.5468961526835e-25
HRNR,-41.77788856923124,6.75890324452445,534.5344489616291,1.2717148568726281e-25,1.549735958757699e-25
NDUFB4P11,-57.41293333248738,0.8328513575983636,534.3276302897889,1.2814132570466527e-25,1.5612701778479163e-25
PRSS35,-46.59485378046096,4.855353497345466,534.0117035710362,1.296377897719043e-25,1.5792153993521542e-25
RPL9P2,-57.36117989905554,1.27281082194043,533.7145941430572,1.310618259263666e-25,1.5962719475991738e-25
KRTAP5-9,-62.549596275977095,0.23210448859301777,533.6074568455779,1.3157934230983877e-25,1.6022833073193365e-25
RPS6P16,-58.511402672589746,0.8035469241898031,532.9237470694212,1.349327460694271e-25,1.6428196914058934e-25
ACTL11P,-55.85015054277814,1.3231471147055602,532.8788326863739,1.3515614834363913e-25,1.6452401751967283e-25
TAS2R9,-51.79984937326252,2.924684228040343,531.945206364265,1.398887474065586e-25,1.7025397223480177e-25
OR2M2,-57.511280474014576,0.8755731738290597,531.3420834572543,1.430380175459348e-25,1.7405517543473857e-25
KRTAP3-1,-55.843330894922914,1.5837221179836163,530.6638892431828,1.4666815515182332e-25,1.78440030885876e-25
EEF1A1P8,-58.0582089859292,0.8918232014305695,530.3935443001077,1.4814199784590671e-25,1.802003679925932e-25
LY6E,-42.174967426277306,6.112644686900206,530.1132929122089,1.4968623137646466e-25,1.8204567303221313e-25
LOC100131553,-54.679778936965576,1.3101213795616258,529.9134167412501,1.5079787675499662e-25,1.8336429696676467e-25
RPL7P25,-56.39525422308214,1.292129293109563,529.1909194717128,1.5488881927742085e-25,1.8830449148430902e-25
MTCO1P19,-58.75962851565055,0.5894183057503364,528.8427662846569,1.5690148194890923e-25,1.9071670229988258e-25
RPL21P25,-57.950163353501225,0.6442679096458781,528.7349981696997,1.5753002272235395e-25,1.9144591605919794e-25
OR2T8,-57.66569339424172,1.309203781202565,528.6587704900207,1.5797620070648059e-25,1.9195328002282448e-25
BTG2,-38.46915377938387,6.375911666490747,528.1237567031694,1.6114523889352518e-25,1.957683441625118e-25
HIGD1AP8,-57.687497483928176,1.205712520280518,527.6632384726308,1.6392633314768567e-25,1.991108121345323e-25
COX5BP2,-58.29756620513511,1.103183682342999,527.155541816111,1.6705068061399552e-25,2.0286891841449094e-25
PRF1,-58.39844208806583,0.9139507124888409,526.9819925955716,1.6813294723404197e-25,2.041461760843178e-25
RNA5SP301,-56.773519045117894,1.3812386706622817,526.8890117358992,1.6871580183429787e-25,2.0481669663695437e-25
SYCE1L,-56.80440999763217,1.178753158637716,526.713592271195,1.6982119593762786e-25,2.0612120842438627e-25
INSL3,-58.4642207475334,0.8626930816318159,526.2244300296014,1.7294386815720385e-25,2.0987328267480705e-25
ZNF474,-58.62968657406062,0.7404740223655787,525.6472201172194,1.7670611765390436e-25,2.1440000380681415e-25
LLCFC1,-60.38579263620225,1.1430807186507161,525.266363860322,1.7923539498820007e-25,2.1742800005350884e-25
LOC100887072,-58.10081923285092,0.9822381601232139,525.2616749538163,1.7926676936688611e-25,2.1742800005350884e-25
RPS15P4,-59.35172744037831,0.49420746966026274,524.8040187930509,1.8235688441325896e-25,2.2113582303123445e-25
LOC100420939,-58.983308199948134,0.7817604469900316,524.6783713155891,1.8321498570552445e-25,2.2213613184416406e-25
FA2H,-48.72612236763474,4.146667055483266,524.606724540335,1.8370618493277948e-25,2.2269131406585033e-25
SULT1C3,-59.8965457176174,0.6931799894338514,524.2801747921267,1.8596249083638531e-25,2.2538559543478555e-25
DSTNP3,-57.722778935907904,0.8491607074278437,523.658451649969,1.903389096838781e-25,2.3064800124555444e-25
AP2A2,-30.857836702869903,9.506264318430643,523.6465137685683,1.9042399036598578e-25,2.3070930475603676e-25
MTND3P22,-59.30578551132781,0.5992819309745889,523.6323746945515,1.9052481036247447e-25,2.3078965166870552e-25
ECEL1P2,-59.08570699357596,0.5417184096728852,523.1397068675249,1.9407296606943633e-25,2.350450968746079e-25
FREM3,-37.305358287557844,7.358093865229301,523.0558562380409,1.9468371064878906e-25,2.3574209640292363e-25
RPS27AP1,-58.23682074543479,0.5232211158286768,522.6218691673718,1.9787708079006715e-25,2.3956557346692474e-25
"NAP1L4",-33.49542622008104,8.659875892924983,521.8789457264883,2.034716458292138e-25,2.4629421624169583e-25
DGKD,-37.800755234430206,7.226352653330281,521.8483326639492,2.0370570033255462e-25,2.4653291650523933e-25
TARP,-53.68083946077641,2.194152054084484,520.0461116543414,2.179939650485075e-25,2.637297218682342e-25
TRGC1,-53.68083946077641,2.194152054084484,520.0461116543414,2.179939650485075e-25,2.637297218682342e-25
CBLIF,-54.51419937381196,1.9435351573551307,519.6420430963177,2.2133920958273083e-25,2.6772838569600117e-25
PGAM1P6,-58.149208630757684,0.941646481788235,518.4688977897081,2.313596898111597e-25,2.797984026662172e-25
RPL18AP13,-59.070331840797195,0.9121214966152488,518.3189495635444,2.326743126614664e-25,2.8133739649178393e-25
OR2T2,-49.51403698100144,3.387145179881783,518.2922159959118,2.329095111525645e-25,2.815708874208393e-25
RARRES2P3,-60.08840157001831,0.596693771912935,518.1309097032749,2.343339570485819e-25,2.8324174895156565e-25
RBM17P1,-59.81105843690346,0.5001392801276621,517.9756205934129,2.3571388841576066e-25,2.8485821131219927e-25
VWFP1,-58.68865985198001,1.0877669929872995,517.6716367186401,2.3843984527361323e-25,2.8810045611184953e-25
RNA5SP397,-59.34185955972876,0.7800054311336473,517.6665866007446,2.3848540970208415e-25,2.881034685745423e-25
EGR4,-48.0949954022909,3.02505099871404,517.4682500983082,2.4028212154796756e-25,2.9022158017955126e-25
NR0B1,-57.55465918776305,1.1274159429790267,517.4445522253629,2.4049774452179284e-25,2.904295744911125e-25
TVP23C-CDRT4,-41.83467111853268,5.812164606396904,517.3522164470969,2.4133982725240367e-25,2.9139388167713503e-25
POU5F1P4,-58.33276024920579,0.8643233775465713,517.1192026081745,2.4347862177887208e-25,2.9392320900178227e-25
MYOM2,-39.84001288954013,6.875668208950296,516.1996082840949,2.5211511978931346e-25,3.0429412419175706e-25
SOCS5P2,-57.21076093900821,0.9880894626412856,516.0241202854451,2.537993787896101e-25,3.0627170209700558e-25
LRRC37A15P,-52.47554835442795,2.133597575561745,515.6454484527802,2.5747398338654257e-25,3.1064997743011963e-25
LOC392187,-55.52399741101591,1.6841583321878693,515.4807327411341,2.590897227046794e-25,3.1254303970633015e-25
MCEMP1,-58.003266157585,0.8220229983235763,515.0570046394273,2.6329516686276277e-25,3.1755884802470615e-25
C3orf52,-50.34641219111722,2.957341939353163,513.92651474011,2.748686654882298e-25,3.3145781565725064e-25
RPS4XP1,-59.92582956021109,0.679396692747264,513.2140333457879,2.824354298053431e-25,3.4052101477432226e-25
PIWIL1,-52.17844803420553,2.6237180608059503,513.0395858055658,2.843211541391697e-25,3.4273278068785476e-25
GPR15,-55.66356343546598,2.1256694977702995,512.9086200147731,2.8574551705446724e-25,3.443877051490687e-25
RPS17P7,-61.65664972953663,0.3851295994072736,512.8640506540505,2.862319489536677e-25,3.4491181887066894e-25
RPS26P23,-59.3652787997461,0.6655807217985618,512.4555485091233,2.9073096856414855e-25,3.502700736177215e-25
OCA2,-46.2383793963369,4.732895925662919,512.1141416425653,2.9454783928686624e-25,3.5480469961999786e-25
LOC100420298,-56.07075790563994,1.0971434796548272,511.6003182152045,3.0039152540721362e-25,3.6177870245748143e-25
NDUFB8P1,-57.49960504595353,0.8742292830473798,511.40545426569827,3.026393457454399e-25,3.6442026709113363e-25
RPL7P23,-54.785106286214095,1.8754543308400389,511.3926269465386,3.027879297432635e-25,3.645335604846454e-25
EIF2S3B,-56.54601143421752,1.4276800087490498,511.3372025173905,3.0343081195777826e-25,3.6524180334453465e-25
IFNA13,-59.64898538813322,1.0568476868041827,510.8389624309776,3.0927461917777458e-25,3.722090549982249e-25
UBQLNL,-59.25070641351417,0.884026386153923,510.6438010821226,3.1159566659861112e-25,3.7493495482606764e-25
LOC100419503,-56.669646147606485,1.4190391509184002,510.5135769380841,3.1315455999146364e-25,3.76742958953759e-25
ZHX1-C8orf76,-52.767668275777744,2.127954676480219,509.79393693988203,3.2191780548118216e-25,3.8721600447107124e-25
CLUHP6,-60.390058563390625,0.6254151359662021,509.3038392840499,3.280325841493234e-25,3.9450017176821725e-25
FGF7P6,-42.514913587503415,5.634899754380127,507.9910273093884,3.4501896939505563e-25,4.148538353916102e-25
RPL7P1,-50.65224607874819,2.914337373026745,507.9802128694358,3.451626614039784e-25,4.149520205124391e-25
RPL21P43,-57.73541882362992,0.692191884995208,507.0736037100756,3.5743452554332664e-25,4.296279499297955e-25
LOC102724904,-55.62229158729191,1.3685619093162749,506.6113785709674,3.6386626770630775e-25,4.372801769111557e-25
BNIP5,-59.43590818049126,0.6855048600600798,506.1775013715528,3.700138901516971e-25,4.445882721797561e-25
YBX1P4,-58.63086950468064,0.9402293236583398,506.1069243404503,3.7102414060616767e-25,4.457220683395575e-25
MTCO1P22,-56.44527413546483,1.1509183651994561,505.8143649727921,3.752427869895819e-25,4.507091043586485e-25
NDUFA3P2,-59.67154137185105,0.6517337833205858,505.3176808180851,3.8252030530866747e-25,4.593677418688827e-25
LOC100130849,-59.09254834575295,0.7952002182549363,504.8891739377555,3.8891764400951342e-25,4.66966454995447e-25
SLC25A5P5,-59.69637552822642,0.6731974983674673,504.8755704199999,3.891225617266547e-25,4.671286459780318e-25
RPL17P26,-59.09994830188136,0.7796163678559715,504.1919498451569,3.995673507419604e-25,4.7958119668275135e-25
PRORP,-41.433432574965046,6.604821541622451,503.5377337866212,4.0983805684950015e-25,4.918203735676905e-25
KCNH8,-40.5302201487743,6.954006820484568,503.38369959450716,4.1229625564846606e-25,4.946815522928412e-25
TARM1,-41.26637986098605,5.811675548205089,503.2543221759612,4.143728931537463e-25,4.970839817620892e-25
MUC4,-42.333160049342,5.995379366660136,502.8779507590923,4.204765513778948e-25,5.043155194848016e-25
FAM238A,-57.23559790309987,1.1181751030755853,502.65865711606745,4.240762078813828e-25,5.085417272353118e-25
POLRMTP1,-56.224420847311904,1.3365643062076762,502.31653498166827,4.297566570700876e-25,5.152341271114619e-25
PRRT1,-36.6118225653933,7.657511235725126,502.3132791183121,4.29811097216618e-25,5.152341271114619e-25
RPS3AP48,-56.73005535179409,1.5402731632765279,501.9741175224351,4.355218511769097e-25,5.21986321899722e-25
CCKAR,-59.25905834786981,0.8868810985580758,501.7785754799856,4.3885042363187765e-25,5.25881491163316e-25
KCNE5,-60.73744695975381,0.6240052386102368,501.75736664283954,4.392130446745728e-25,5.262217545814469e-25
RIMBP3B,-26.593742705033286,11.286615636744882,501.6525896846599,4.4100909343102285e-25,5.282789802937163e-25
CYP3A7-CYP3A51P,-56.68715898182721,1.7865121857539368,501.41261772324395,4.451516497134637e-25,5.331458164607626e-25
LOC100419570,-57.66269424541295,0.9715436731733149,500.50538533441545,4.61184865356524e-25,5.522494744664857e-25
OR6L1P,-53.00266199223198,2.024281738639672,500.4584877623117,4.620299362523121e-25,5.531623847488303e-25
LOC100419878,-58.493117007584324,0.8351080610306469,499.54353233234576,4.788455160494686e-25,5.731921361587143e-25
IFNA11P,-58.478332613806884,1.2170121858052856,499.39326429026625,4.81667940798701e-25,5.76467499732065e-25
XIRP1,-57.73926869512035,1.0658461400871648,499.2845545503014,4.837206504833898e-25,5.788206495676914e-25
PPIAP50,-60.078995451919056,0.6742054617157567,499.1456976650649,4.863559465482907e-25,5.818699564409794e-25
CCR1,-49.53720076334547,3.8336584288124076,498.9846556069839,4.894311262186872e-25,5.854443496560799e-25
PDE6H,-59.68881115202025,0.7351899190465903,498.4315528577026,5.001488975586471e-25,5.981576927891632e-25
CLEC9A,-50.99882556198725,3.1381637116134184,497.600951730433,5.167079549369805e-25,6.178511817256815e-25
CLUHP10,-59.036369087433044,0.5795262996900152,497.30438313255434,5.227586682191384e-25,6.249745722462587e-25
RNA5SP260,-58.96821623535034,0.5459380190794257,497.0571921103157,5.278586528790287e-25,6.309589937648004e-25
OR51Q1,-60.480899245232166,0.5105374138307668,496.88511740761567,5.314395990960197e-25,6.3512586713476435e-25
GOLGA6L22,-43.78829936537866,4.803569542199891,496.2406223473513,5.450795224628528e-25,6.513106333965742e-25
PYDC2,-58.7013526411124,1.1589230483360966,496.16636741510683,5.466744240216469e-25,6.530997003537767e-25
STX18P1,-56.801497065658495,1.2710388837588358,495.82711982967106,5.540234483911607e-25,6.617612225515132e-25
CDKN1C,-49.0627753092001,4.360419196755228,495.6382119495668,5.581604860966858e-25,6.665837335298575e-25
RPL18AP10,-54.03265443040505,1.7609871486279451,494.40990884544874,5.858613614974438e-25,6.995406367469479e-25
CRYBB2,-59.78768382601315,0.4428673914009597,493.71616203904046,6.021396251745523e-25,7.188491795096521e-25
LOC100507547,-36.10247892538742,7.827026631394316,493.45066042555874,6.084941445606509e-25,7.263057339340103e-25
INMT-MINDY4,-49.58167889109254,2.992975896445296,492.4012858305709,6.343054713162946e-25,7.569793572943255e-25
HSPE1-MOB4,-45.53679006497842,4.6451738222665515,492.15226295584097,6.405973740406324e-25,7.643517365247575e-25
RNA5SP305,-59.081632924859306,0.8365402280851624,492.11052990852266,6.416581951364513e-25,7.654809465432001e-25
B2M,-38.55070829203392,6.94319408051348,491.976331502459,6.450819003404276e-25,7.69428108305478e-25
RPL21P28,-56.095638883842994,1.5026887196590382,491.64002446025427,6.537461716276376e-25,7.796234876122781e-25
MARF1,-33.38124942569444,8.674114202002459,491.1551078672525,6.664542261186375e-25,7.946367769175697e-25
LOC729141,-56.85570870465433,1.242205521560258,491.0403417189694,6.694995578942867e-25,7.981255645615547e-25
SLC35D2,-44.012990864022946,5.538752772611218,490.70513270279383,6.78478097640582e-25,8.086849599283417e-25
RNA5SP500,-59.77929557504896,0.7301265518836585,490.39195953178387,6.869803871253107e-25,8.186730464067706e-25
LHFPL7,-58.07118587580475,1.2719898447481695,489.55963071815006,7.101239716513729e-25,8.46102466401146e-25
RHOT1P1,-51.207405853207774,3.0154837547253424,489.3914402462674,7.148990153429231e-25,8.516401627121662e-25
SPPL2C,-52.51056097572059,2.353924093889846,489.2023826790415,7.203066592050433e-25,8.579293524612775e-25
RPL6P12,-58.729596846226755,0.8548343149384118,488.7681287799667,7.328905399750303e-25,8.727621189056396e-25
RPL4P5,-56.93417302468616,0.849715503873106,488.76332367163786,7.330310641172347e-25,8.727740811463478e-25
OR52B6,-58.22270718706051,0.9214418527013981,488.56482899550986,7.388607184512495e-25,8.795585238868851e-25
PGLYRP3,-45.816869219397084,4.135830983212237,488.17810267324785,7.503584983115782e-25,8.930868318872147e-25
C19orf38,-57.00149788382039,1.4577522674293206,487.9941579998143,7.558929813241515e-25,8.99513992541763e-25
TRARG1,-56.51594716511433,1.4378227486609894,487.6799364869489,7.654463171503341e-25,9.10720458096511e-25
OR56B2P,-66.53643244221286,0.20295971711368674,508.7864073131829,7.735338773703312e-25,9.201792825413739e-25
FOXD4L4,-61.198141267413774,0.5317068873902886,486.5967674287595,7.993589414267796e-25,9.507311449508762e-25
RPL32P35,-56.239798473493686,1.0727387309631806,486.0875311590197,8.158427956271857e-25,9.701639928800435e-25
RPL7P6,-55.92830399889898,1.001762840417267,485.79682480904773,8.254121530106753e-25,9.81368981778956e-25
PLCH2,-37.6722979298038,7.253126909548414,485.5868663827514,8.323965444893892e-25,9.894971540944597e-25
USP9YP21,-58.887146672833936,0.7813578525629146,485.4554272215485,8.368004247654117e-25,9.94555444430675e-25
MTND6P6,-55.258379727123,1.2965186554122996,484.92019622253883,8.549869372713883e-25,1.0159899846168619e-24
SOX18,-59.26261769608125,0.840599536149953,484.6141759477527,8.655707033497178e-25,1.0283840914220715e-24
TNFRSF13B,-59.50950314611991,1.027841031412632,484.27718075739983,8.773846542971872e-25,1.0422351185568968e-24
IGKC,-60.604986703281384,0.7274803594189426,483.9552903175822,8.888268360065758e-25,1.0556396850227248e-24
APBA2,-29.0353970272844,10.498819853135805,482.94680797073624,9.256979251614288e-25,1.0992354733543044e-24
GTF3AP2,-58.86510200779,0.4706523999710683,482.8070843885772,9.309313221195307e-25,1.1052537475430495e-24
MTCO3P15,-58.31524055057738,0.6475884351602558,482.16681096690263,9.553123710562318e-25,1.1339990150834311e-24
HNRNPA1P27,-58.21750758821112,0.8392852830802806,481.80540848150525,9.69368670673924e-25,1.1504803119478137e-24
ARID3C,-56.82794920199656,0.9522617007676853,480.484194304362,1.0226268184399827e-24,1.21347361868814e-24
LOC100506281,-53.27062472426776,2.0539770558450763,480.2569485364837,1.0320917411146292e-24,1.2244877006590555e-24
RPL6P2,-60.9095522699799,0.6865477910620177,479.3927934073121,1.0689304647013045e-24,1.2679687672259311e-24
KRTAP5-4,-53.943335773193525,1.904975097234356,479.29434174182103,1.0732139695041394e-24,1.2728241563853171e-24
CDC42EP5,-57.72934228273135,1.5542241163630357,478.70522957846174,1.0992239243946828e-24,1.3034406719156238e-24
